Rank,Name,Growth_Rate,Revenue,Industry,Employees,City,State
45,Silver Spring Networks,58.67,196700000.0,Energy,566,Redwood City,CA
46,ThinkLite,55.25,8500000.0,Energy,14,Natick,MA
47,29 Prime,54.43,13800000.0,Advertising & Marketing,152,Irvine,CA
48,Cinium Financial Services,53.65,5900000.0,Financial Services,32,Rock Hill,NY
49,Solar Alliance of America,53.37,17300000.0,Energy,4,San Diego,CA
50,Saratoga Roofing & Construction,53.28,29300000.0,Construction,106,Oklahoma City,OK
51,Madwire Media,52.54,6900000.0,Advertising & Marketing,94,Loveland,CO
52,Eventus Solutions Group,52.21,6400000.0,Business Products & Services,22,Englewood,CO
53,LabTech Software,52.08,23100000.0,Software,152,Tampa,FL
54,Altitude Digital,51.62,11400000.0,Advertising & Marketing,21,Denver,CO
55,DSFederal,51.51,9400000.0,Government Services,70,Gaithersburg,MD
56,Pinnacle Strategies,51.34,7000000.0,Business Products & Services,17,Plano,TX
57,Lead5 Media,50.16,35600000.0,Advertising & Marketing,33,Newark,CA
58,eGumball,50.15,9600000.0,Advertising & Marketing,125,Irvine,CA
59,Doc Popcorn,50.11,7200000.0,Retail,18,Boulder,CO
60,Red Frog Events,49.57,49500000.0,Consumer Products & Services,83,Chicago,IL
61,MHD Enterprises,49.42,7200000.0,Business Products & Services,27,Austin,TX
62,Wilson Legal Solutions,48.39,5500000.0,IT Services,30,Newtown Square,PA
63,HasOffers,48.37,7300000.0,Advertising & Marketing,57,Seattle,WA
64,GSC Packaging,48.13,112600000.0,Manufacturing,300,Atlanta,GA
65,ethosIQ,47.68,6900000.0,Business Products & Services,118,Houston,TX
66,Celebrity Auto Group,47.45,16200000.0,Consumer Products & Services,6,Sarasota,FL
67,Crescendo Bioscience,47.4,5500000.0,Health,103,South San Francisco,CA
68,ReTargeter,47.39,6500000.0,Advertising & Marketing,35,San Francisco,CA
69,C-4 Analytics,46.46,4900000.0,Advertising & Marketing,32,Saugus,MA
70,33Across,44.99,27900000.0,Advertising & Marketing,75,New York,NY
71,LiveIntent,44.85,6900000.0,Advertising & Marketing,42,New York,NY
72,Rocket Fuel,44.51,106600000.0,Advertising & Marketing,289,Redwood City,CA
73,iSend,44.41,105800000.0,Financial Services,15,Middlebury,CT
74,BidPal,43.23,10200000.0,Business Products & Services,88,Indianapolis,IN
75,Equinox Business Solutions,42.35,82600000.0,Business Products & Services,140,Salt Lake City,UT
76,Dito,42.0,4500000.0,IT Services,30,Manassas,VA
77,Bio Soil Enhancers,40.87,4900000.0,Manufacturing,19,Hattiesburg,MS
78,Janes Capital Partners,40.54,7500000.0,Financial Services,10,Irvine,CA
79,RestoreHealth,40.39,4900000.0,Health,45,Madison,WI
80,Matt Martin Real Estate Management,39.82,31700000.0,Real Estate,114,Frisco,TX
81,Celerity Ventures,39.6,15800000.0,Real Estate,7,Alexandria,VA
82,ASE Direct,39.24,26200000.0,Government Services,17,Brentwood,TN
83,Evolving Wisdom,39.24,6700000.0,Education,29,San Rafael,CA
84,Next Step Living,38.9,29400000.0,Energy,460,Boston,MA
85,Vital Farms,38.78,9700000.0,Food & Beverage,30,Austin,TX
86,C-DM Network,38.55,5500000.0,Construction,19,Addison,TX
87,SalesStaff,38.33,4100000.0,Business Products & Services,60,Stafford,TX
88,WellDog,37.58,8000000.0,Energy,42,Laramie,WY
89,SKM Media Group,37.52,12000000.0,Advertising & Marketing,20,Boca Raton,FL
90,Spoken Communications,37.34,10200000.0,Telecommunications,37,Bellevue,WA
91,Sol Systems,37.16,9100000.0,Energy,16,Washington,DC
92,Elevate Technology Solutions,36.01,16900000.0,IT Services,120,Rockland,MA
93,Build Group,35.91,101500000.0,Construction,158,San Francisco,CA
94,Alex and Ani,35.69,79800000.0,Retail,613,Cranston,RI
95,Onsite OHS,35.68,33200000.0,Health,228,Princeton,IN
96,CoverMyMeds,35.67,5300000.0,Health,35,Twinsburg,OH
97,Discovery Services,35.08,16600000.0,Business Products & Services,307,Chicago,IL
98,VRx,34.79,72400000.0,Health,67,Salt Lake City,UT
99,Marketplace Homes,34.73,19400000.0,Real Estate,73,Livonia,MI
100,Centerplan Construction,34.63,56400000.0,Construction,43,Middletown,CT
101,BlueSquare Resolutions,34.58,14300000.0,Financial Services,14,Scottsdale,AZ
102,The Logistics Store,34.5,7100000.0,Logistics & Transportation,11,Liberty,MO
103,CashStar,34.14,9700000.0,Software,96,Portland,ME
104,WebiMax,33.67,8400000.0,Advertising & Marketing,125,Mount Laurel,NJ
105,Touchsuite,33.38,13400000.0,Software,43,Boca Raton,FL
106,AKVARR,33.1,5100000.0,IT Services,65,Fairfax,VA
107,Analytic Strategies,33.06,5400000.0,Government Services,33,Vienna,VA
108,Apartment List,31.91,10300000.0,Real Estate,32,San Francisco,CA
109,Acquia,31.31,45400000.0,Software,263,Burlington,MA
110,Axcient,31.16,9700000.0,Security,96,Mountain View,CA
111,Datto,31.01,25200000.0,Security,125,Norwalk,CT
112,Command Post Technologies,30.95,7200000.0,Government Services,31,Suffolk,VA
113,Sustainable Supply,30.61,3200000.0,Retail,7,Milwaukee,WI
114,Oceanhouse Media,30.55,3900000.0,Software,10,Encinitas,CA
115,Rapier Solutions,30.51,6200000.0,IT Services,51,Matthews,NC
116,Econohomes,30.41,42700000.0,Real Estate,73,Austin,TX
117,Green Box Foods,30.2,251100000.0,Food & Beverage,221,Norcross,GA
118,BMA,29.98,9000000.0,Government Services,75,Leavenworth,KS
119,Dashed,29.84,4600000.0,Business Products & Services,92,Brighton,MA
120,Puppet Labs,29.75,8800000.0,Software,107,Portland,OR
121,Orgain,29.71,9000000.0,Food & Beverage,6,Tustin,CA
122,US Perishables,29.65,4000000.0,Logistics & Transportation,10,Oakland,CA
123,Asentra,29.63,12100000.0,Advertising & Marketing,24,Trumbull,CT
124,Quantum Networks,29.44,11500000.0,Telecommunications,28,New York,NY
125,FuzeBox,29.33,8800000.0,Business Products & Services,132,San Francisco,CA
126,Renegade Furniture Group,29.26,9800000.0,Retail,17,Hewlett,NY
127,GreenCupboards,28.98,13100000.0,Retail,56,Spokane,WA
128,Target Freight Management,28.96,23900000.0,Logistics & Transportation,24,Pittsburgh,PA
129,Maestro Technologies,28.32,5200000.0,IT Services,66,Edison,NJ
130,Advice Interactive Group,28.08,3200000.0,Advertising & Marketing,31,McKinney,TX
131,Netcom3 Global,27.73,23700000.0,Software,12,Laguna Niguel,CA
132,Buy Happier,27.72,20600000.0,Retail,32,Morton Grove,IL
133,The Millennium Group International,27.58,4500000.0,Government Services,25,Sterling,VA
134,Viderity,27.41,10700000.0,Government Services,28,Washington,DC
135,I.T. Source,27.38,84500000.0,Business Products & Services,34,Los Angeles,CA
136,Videology,27.27,137500000.0,Advertising & Marketing,321,Baltimore,MD
137,STAR Collaborative,26.96,14000000.0,Human Resources,5,Plymouth,MN
138,All Around Property Preservation,26.87,10800000.0,Construction,15,Medina,MN
139,Populus,26.85,3000000.0,Energy,30,Boulder,CO
140,Astrum Solar,26.65,41000000.0,Energy,200,Annapolis Junction,MD
141,StartFinder,26.59,2800000.0,Human Resources,29,Rockville,MD
142,Cloud Sherpas,26.33,75300000.0,IT Services,532,Atlanta,GA
143,Apex Resources,26.25,22800000.0,Manufacturing,3,Dallas,TX
144,RMGS,25.99,3900000.0,Government Services,23,Virginia Beach,VA
145,Finch,25.93,2900000.0,Software,6,Lehi,UT
146,Dhaliwal Laboratories,25.88,8300000.0,Manufacturing,49,Dallas,TX
147,Business Finance Store,25.86,4000000.0,Financial Services,35,Santa ana,CA
148,Monster Flooring Sale,25.56,3800000.0,Retail,31,Carrollton,TX
149,Hudl,25.35,14100000.0,Software,73,Lincoln,NE
150,Rigid Industries,25.28,24100000.0,Manufacturing,121,Gilbert,AZ
151,GiftCardRescue.com,25.18,6600000.0,Consumer Products & Services,8,Ellicott City,MD
152,W4,25.15,59800000.0,Advertising & Marketing,40,Santa Monica,CA
153,Regal Wings,25.13,15400000.0,Travel & Hospitality,42,Brooklyn,NY
154,Chicagoland Foreign Investment Group,25.11,3900000.0,Financial Services,9,Chicago,IL
155,1st American Systems and Services,24.92,2600000.0,Government Services,34,Falls Church,VA
156,Extrabux.com,24.92,4600000.0,Consumer Products & Services,15,San Diego,CA
157,SCM Data,24.91,10300000.0,IT Services,150,Jersey City,NJ
158,Mobomo,24.84,2800000.0,Software,13,Bethesda,MD
159,PropertyRate,24.55,4200000.0,Real Estate,7,Orange,CA
160,Medical Staffing Options,24.44,4600000.0,Health,200,Westerville,OH
161,Projekt202,24.36,12500000.0,Software,73,Addison,TX
162,Summerset Professional Grills,24.29,6100000.0,Consumer Products & Services,6,Costa Mesa,CA
163,SimplyGlobo,24.23,2600000.0,Retail,11,Villa Park,IL
164,BrightSource Energy,24.15,291100000.0,Energy,481,Oakland,CA
165,EDJ Precision,24.1,4000000.0,Manufacturing,11,Houston,TX
166,Alternative Technology Solutions,24.07,8800000.0,Software,52,Aliso Viejo,CA
167,BayRu,23.9,19500000.0,Retail,120,Morton Grove,IL
168,HUMAN Healthy Vending,23.78,9200000.0,Food & Beverage,30,Los Angeles,CA
169,GSATi,23.67,2500000.0,IT Services,23,Denton,TX
170,TracePoint Consulting,23.55,4900000.0,IT Services,18,Atlanta,GA
171,Extreme Reach,23.49,41500000.0,Advertising & Marketing,203,Needham,MA
172,Act-On Software,23.3,9200000.0,Software,140,Beaverton,OR
173,CSI Powerline,23.13,16000000.0,Energy,140,Chandler,AZ
174,Refinery29,23.01,16600000.0,Media,99,New York,NY
175,Clinovations,22.96,12800000.0,Health,41,Washington,DC
176,Mixbook,22.88,25100000.0,Retail,60,Palo Alto,CA
177,Hawkeye Management,22.86,3000000.0,Financial Services,32,Blackwood,NJ
178,Ticketracker,22.67,2500000.0,Software,11,Anderson,IN
179,Recondo Technology,22.61,30400000.0,Health,251,Greenwood Village,CO
180,Sky Zone Indoor Trampoline Park,22.49,50600000.0,Retail,2000,Los Angeles,CA
181,TNH Pharmacy II,22.48,37700000.0,Health,20,Van Nuys,CA
182,Streamline Defense,22.36,6300000.0,Government Services,60,Tampa,FL
183,First Flight Solutions,22.32,2700000.0,Logistics & Transportation,,Emerald Isle,NC
184,WordStream,22.25,3400000.0,Advertising & Marketing,56,Boston,MA
185,IT Strategic Performance Firm,22.25,3500000.0,IT Services,38,San Antonio,TX
186,Ad-Juster,22.18,2800000.0,Software,18,Poway,CA
187,EnSite Solutions,22.07,10600000.0,Business Products & Services,14,Irving,TX
188,NextWorth Solutions,21.95,31100000.0,Consumer Products & Services,20,Billerica,MA
189,Omatic Software,21.92,5000000.0,Software,22,North Charleston,SC
190,Advocate Merchant Solutions,21.78,3700000.0,Financial Services,75,Fishers,IN
191,Greenphire,21.78,5400000.0,Software,42,King of Prussia,PA
192,Wall Street Network Solutions,21.56,7700000.0,Telecommunications,12,Parsippany,NJ
193,S2Verify,21.42,4400000.0,Human Resources,15,Roswell,GA
194,Target Logistics,21.31,121900000.0,Business Products & Services,450,Boston,MA
195,Virtual Enterprise Architects,21.27,3800000.0,IT Services,23,Washington,DC
196,Titan Protection and Consulting,21.17,2400000.0,Security,158,Overland Park,KS
197,Evolution Capital Partners,21.17,2700000.0,Financial Services,5,Cleveland,OH
198,Glass Mountain Capital,21.12,6900000.0,Financial Services,140,Schaumburg,IL
199,SiiBER,20.95,2500000.0,Retail,7,Fort Wayne,IN
200,iSirona,20.92,17200000.0,Health,106,Panama City,FL
201,Cell Phone Repair,20.91,7500000.0,Retail,45,Orlando,FL
202,Silencerco,20.84,6300000.0,Consumer Products & Services,51,West Valley City,UT
203,CWU,20.62,10200000.0,Government Services,474,Clearwater,FL
204,AudioMicro,20.53,2200000.0,Media,5,Sherman Oaks,CA
205,ReconCraft,20.45,2200000.0,Manufacturing,12,Newton,MA
206,TEEMA Consulting Group,20.42,30000000.0,Human Resources,90,irvine,CA
207,Solomon Consulting Group,20.27,2200000.0,IT Services,20,Overland Park,KS
208,"GarbageMan, A Green Company",20.18,8900000.0,Consumer Products & Services,49,Plymouth,MN
209,TheraPearl,20.17,5000000.0,Consumer Products & Services,16,Jessup,MD
210,Landmark Network,20.04,7500000.0,Real Estate,57,Sherman Oaks,CA
211,TaskUs,19.99,3900000.0,Business Products & Services,424,Santa Monica,CA
212,NTE Solutions,19.97,4400000.0,Energy,16,St. Augustine,FL
213,Arocon Roofing and Construction,19.82,8800000.0,Construction,50,Westminster,MD
214,The Brixton Group,19.75,20900000.0,IT Services,11,Waxhaw,NC
215,FreeAlliance.com,19.52,2600000.0,Government Services,7,Washington,DC
216,BWBacon Group,19.49,3600000.0,Human Resources,6,Denver,CO
217,Sovereign Lending Group,19.45,6200000.0,Financial Services,49,Irvine,CA
219,Novisync Solutions,19.28,7500000.0,IT Services,119,Fishkill,NY
220,Snap Advances,19.25,21900000.0,Financial Services,40,Salt Lake City,UT
221,Dane Street,19.22,9400000.0,Health,81,Boston,MA
222,OpenX,19.21,154000000.0,Advertising & Marketing,264,Pasadena,CA
223,Quick Left,19.17,2800000.0,Software,20,Boulder,CO
224,Titan Electric Company,19.16,6800000.0,Construction,50,Charlotte,NC
225,Victor Securities,19.1,5100000.0,Financial Services,14,Englewood,NJ
226,New Wave Surgical,19.04,12400000.0,Health,98,Pompano Beach,FL
227,Superfly Kids,18.93,2400000.0,Consumer Products & Services,17,Livonia,MI
228,LINQ Services,18.92,57500000.0,Business Products & Services,25,Elkridge,MD
229,Vesa Health & Technology,18.56,15500000.0,Government Services,149,San Antonio,TX
230,Adora,18.55,2600000.0,Retail,84,Greensboro,NC
231,WebPT,18.37,8900000.0,Software,140,Phoenix,AZ
232,Rethink Autism,18.27,4100000.0,Education,22,New York,NY
233,Team Trident,18.23,6700000.0,Energy,6,Houston,TX
234,Camp Gladiator,18.2,4600000.0,Consumer Products & Services,16,Austin,TX
235,Whitacre Logistics,18.13,19900000.0,Logistics & Transportation,135,Portage,OH
236,VinoPro,18.1,2400000.0,Business Products & Services,40,Santa Rosa,CA
237,Xtreme Solutions,18.1,8600000.0,IT Services,157,Atlanta,GA
238,North Florida Field Services,18.08,13100000.0,Construction,46,Jacksonville,FL
239,TubeMogul,18.03,53400000.0,Advertising & Marketing,125,Emeryville,CA
240,iQuanti,17.96,2500000.0,Advertising & Marketing,50,Hoboken,NJ
241,PanelClaw,17.9,35200000.0,Energy,46,North Andover,MA
242,Vets Etc.,17.88,3800000.0,IT Services,15,Seaside,CA
243,Infolob Solutions,17.78,12200000.0,IT Services,120,Irving,TX
244,VincentBenjamin,17.7,8200000.0,Human Resources,34,Phoenix,AZ
245,CardCash.com,17.69,16100000.0,Consumer Products & Services,42,East Windsor,NJ
246,Cardinal Point Captains,17.65,2000000.0,Government Services,30,Carlsbad,CA
247,TrendyMinds,17.58,3700000.0,Advertising & Marketing,29,Indianapolis,IN
248,Modern Everyday,17.51,6100000.0,Retail,24,South El Monte,CA
249,SearchPros Solutions,17.27,27600000.0,Human Resources,713,Citrus Heights,CA
250,Gravity Media,17.24,12400000.0,Advertising & Marketing,15,New York,NY
251,BabyHaven.com,17.16,11400000.0,Retail,94,Santa Fe Springs,CA
252,Benzara,17.02,2000000.0,Consumer Products & Services,5,Naperville,IL
253,Plum Organics,16.91,80800000.0,Food & Beverage,62,Emeryville,CA
254,Crunchy Logistics,16.87,2200000.0,IT Services,14,Orlando,FL
255,Transcend Media,16.73,6700000.0,Advertising & Marketing,107,Greenacres,FL
256,FlexWage Solutions,16.7,2100000.0,Financial Services,8,Mountainside,NJ
257,3 Key Elements,16.66,2100000.0,Education,12,West Jordan,UT
258,Patient Engagement Advisors,16.64,2300000.0,Health,30,Birmingham,AL
259,Macrospect,16.61,4600000.0,IT Services,32,Irving,TX
260,iDrive Logistics,16.53,11300000.0,Logistics & Transportation,7,American Fork,UT
261,Technomax,16.52,2400000.0,IT Services,9,West Windsor,NJ
262,ShayCore Enterprises,16.4,6900000.0,Construction,18,Jacksonville,FL
263,SAPremacy Consulting,16.4,6100000.0,IT Services,2,Warrenville,IL
264,MSR Promo,16.3,2400000.0,Business Products & Services,4,New York,NY
265,Verdi Consulting,16.26,5800000.0,Government Services,45,McLean,VA
266,Hawaii Energy Connection,16.09,45100000.0,Energy,80,Aiea,HI
267,NUE Agency,16.04,4500000.0,Media,4,New York,NY
268,MMC Systems,16.03,8900000.0,IT Services,100,Herndon,VA
269,Veterans Enterprise Technology Solutions,16.02,79300000.0,Government Services,467,Clarksville,VA
270,Genesis Consulting Partners,16.01,12200000.0,IT Services,50,glen allen,VA
271,Space Saving Solutions,15.95,5800000.0,Business Products & Services,10,Lexington,SC
272,Movement Mortgage,15.92,92000000.0,Financial Services,1165,Charlotte,NC
273,Full Circle Marketing,15.87,3400000.0,Advertising & Marketing,14,Ft. Lauderdale,FL
274,Virtual Tech Gurus,15.85,10400000.0,IT Services,23,IRving,TX
275,Technical Solutions,15.85,16300000.0,Telecommunications,213,Walden,NY
276,iQuasar,15.68,3300000.0,IT Services,11,Sterling,VA
277,JG Tax Group,15.61,4600000.0,Financial Services,55,Deerfield Beach,FL
278,Oncology Analytics,15.61,2600000.0,Health,20,Plantation,FL
279,Patina Solutions,15.55,9900000.0,Human Resources,99,Brookfield,WI
280,RosettaBooks,15.49,3200000.0,Media,7,New York,NY
281,Acordis International,15.42,2200000.0,IT Services,12,Pembroke Pines,FL
282,FreightPros,15.41,7100000.0,Logistics & Transportation,25,Austin,TX
283,Vintage IT Services,15.31,28900000.0,IT Services,18,Austin,TX
284,Bottle Rocket Apps,15.29,10800000.0,Software,107,Dallas,TX
285,SET,15.28,23700000.0,Advertising & Marketing,46,New York,NY
286,Landmark Retail,15.19,6100000.0,Construction,15,Little Falls,NJ
287,Regal Assets,15.14,24500000.0,Financial Services,33,Burbank,CA
288,The FlexPro Group,15.13,6600000.0,Health,32,Plymouth Meeting,PA
289,ODW Logistics & Transportation Services,15.08,14800000.0,Logistics & Transportation,20,Hamilton,OH
290,Plug Smart,15.07,6400000.0,Energy,18,Columbus,OH
291,Column Five,15.04,5300000.0,Media,42,Newport Beach,CA
292,ActivityRez,14.81,5100000.0,Software,9,Honolulu,HI
293,InfoFree.com,14.73,2400000.0,Business Products & Services,145,San Mateo,CA
294,Knight Solutions,14.72,16300000.0,Government Services,150,leesburg,VA
295,ScanDigital,14.62,7600000.0,Consumer Products & Services,48,Torrance,CA
296,Blue Star Tec,14.61,2800000.0,IT Services,25,Bloomingdale,IL
297,Kentech Consulting,14.61,2400000.0,Security,80,Chicago,IL
298,DiscoverOrg,14.56,13700000.0,Business Products & Services,87,Vancouver,WA
299,Ultraflex Power Technologies,14.54,2200000.0,Manufacturing,12,Ronkonkoma,NY
300,Clickin Moms,14.49,2800000.0,Media,10,Geneva,IL
301,Caduceus Healthcare,14.43,4100000.0,Government Services,18,Atlanta,GA
302,Armstrong Steel Building Systems,14.38,8000000.0,Construction,50,Denver,CO
303,Memphis Invest,14.29,40000000.0,Real Estate,41,Cordova,TN
304,Reboot Marketing,14.28,11800000.0,Advertising & Marketing,7,Nashville,TN
305,OrigAudio,14.23,3600000.0,Consumer Products & Services,13,Costa Mesa,CA
306,Farm2Fleet Trucking,14.15,2400000.0,Logistics & Transportation,17,Chattanooga,TN
307,SHINE Systems & Technologies,14.1,5900000.0,Government Services,73,Charlottesville,VA
308,Rescue One Financial,14.06,31600000.0,Financial Services,53,Irvine,CA
309,Ivy Exec,14.01,2200000.0,Human Resources,30,New York,NY
310,ACT Appraisal,13.88,15300000.0,Real Estate,46,East Dundee,IL
311,Tolteq Group,13.85,28500000.0,Energy,45,Cedar Park,TX
312,Blueline Security Services,13.83,2200000.0,Security,148,Landover,MD
313,Wireless Communications,13.78,43100000.0,Retail,297,Greenville,SC
314,Panjiva,13.77,4000000.0,Business Products & Services,48,New York,NY
315,NuCourse Distribution,13.73,97500000.0,Consumer Products & Services,74,Garden Grove,CA
316,Legacy Analytics,13.64,3500000.0,Business Products & Services,81,Rolling Meadows,IL
317,SunSoft,13.61,2500000.0,IT Services,85,Scottsdale,AZ
318,SimpleRay,13.54,2200000.0,Energy,2,Saint Paul,MN
319,Green Earth,13.5,7700000.0,Business Products & Services,53,Iselin,NJ
320,ISBX,13.45,5200000.0,Software,27,Los Angeles,CA
321,OneScreen,13.44,15800000.0,Software,55,Irvine,CA
322,Barbaricum,13.4,6100000.0,Government Services,47,Washington,DC
323,Seamgen,13.28,3700000.0,Software,20,San Diego,CA
324,MiLend,13.23,14200000.0,Financial Services,86,Atlanta,GA
325,Sunsight Instruments,13.2,2200000.0,Telecommunications,15,Maitland,FL
326,uTest,13.18,17000000.0,IT Services,102,Framingham,MA
327,InviCRO,13.12,5700000.0,Health,18,Boston,MA
328,Gibbon Slacklines,13.12,3800000.0,Consumer Products & Services,12,Boulder,CO
329,Vetora,13.11,4200000.0,Retail,21,Orem,UT
330,Abbyson Living,13.11,29800000.0,Consumer Products & Services,62,Calabasas,CA
331,Pivot Employment Platforms,13.05,100200000.0,Human Resources,13,Overland Park,KS
332,Branding Brand,13.02,8000000.0,Software,117,Pittsburgh,PA
333,Ramps International,12.99,7400000.0,IT Services,90,Edison,NJ
334,FuelFX,12.91,2200000.0,Advertising & Marketing,31,Bellaire,TX
335,enVision Business Consulting,12.91,10400000.0,Business Products & Services,20,Denver,CO
336,Two95 International,12.89,4600000.0,Human Resources,85,Cherry Hill,NJ
337,Bed Bug Supply,12.85,6900000.0,Consumer Products & Services,9,Coral Springs,FL
338,Cartagz,12.82,20900000.0,Consumer Products & Services,8,Elk Grove,CA
339,Nisga'a Data Systems,12.81,9500000.0,Government Services,62,Herndon,VA
340,CollabraLink Technologies,12.79,6900000.0,IT Services,35,Hinsdale,IL
341,Complete Merchant Solutions,12.71,31100000.0,Financial Services,32,Orem,UT
342,Williams Strength,12.68,3500000.0,Consumer Products & Services,32,West Columbia,SC
343,Ustream,12.65,17400000.0,Consumer Products & Services,254,San Francisco,CA
344,Grammarly,12.6,8000000.0,Consumer Products & Services,50,San Francisco,CA
345,ReverbNation,12.57,13900000.0,Software,61,Durham,NC
346,ATDynamics,12.55,8200000.0,Logistics & Transportation,50,Hayward,CA
347,HireVue,12.51,5800000.0,Human Resources,83,South Jordan,UT
348,Echo Health,12.5,25000000.0,Health,15,Westlake Ohio,OH
349,Taurean,12.49,5900000.0,Government Services,35,San Antonio,TX
350,Innotion Enterprises,12.48,41500000.0,Real Estate,40,Vienna,VA
351,Configero,12.45,2200000.0,IT Services,21,Duluth,GA
352,Elorac,12.45,6100000.0,Health,14,Vernon Hills,IL
353,Fitness On Request,12.43,3900000.0,Health,29,Maple Grove,MN
354,KT TAPE,12.39,9100000.0,Health,19,Lindon,UT
355,Wellness Corporate Solutions,12.37,9300000.0,Health,51,Bethesda,MD
356,Profit Sense Innovations,12.37,5000000.0,Business Products & Services,38,Jersey City,NJ
357,SugarSync,12.34,17300000.0,Software,70,San Mateo,CA
358,Magnet 360,12.31,17100000.0,Advertising & Marketing,71,St. Louis Park,MN
359,Acceleration Partners,12.27,3300000.0,Advertising & Marketing,15,Needham,MA
360,Century Payments,12.18,206400000.0,Financial Services,465,Frisco,TX
361,FCi Federal,12.18,70900000.0,Government Services,1352,Leesburg,VA
362,Platinum Advisor Strategies,12.18,2300000.0,Business Products & Services,15,The Villages,FL
363,Reserveage Organics,12.13,63300000.0,Health,72,Gainesville,FL
364,Clearleap,12.13,5500000.0,Software,35,Duluth,GA
365,Dynamix Mechanical,12.12,13300000.0,Government Services,90,Tampa,FL
366,All Green Electronics Recycling,12.09,4600000.0,Business Products & Services,88,Tustin,CA
367,Marketo,12.05,58400000.0,Software,339,San Mateo,CA
368,Netsertive,11.93,9000000.0,Advertising & Marketing,73,Morrisville,NC
369,"Fathom (Oakland, CA)",11.88,3400000.0,Manufacturing,15,Oakland,CA
370,"Re:think (Ramsey, NJ)",11.86,2900000.0,Advertising & Marketing,22,Ramsey,NJ
371,24hr HomeCare,11.85,18400000.0,Health,49,El Segundo,CA
372,Securus Payments,11.84,6600000.0,Financial Services,150,Portland,OR
373,Evo Exhibits,11.84,4500000.0,Advertising & Marketing,22,West Chicago,IL
374,Govind Development,11.82,14000000.0,Construction,145,Corpus Christi,TX
375,Action Lead Solutions,11.81,7900000.0,Advertising & Marketing,12,Chicago,IL
376,Martini Media,11.77,17200000.0,Advertising & Marketing,50,San Francisco,CA
377,StrongBridge,11.74,10100000.0,Government Services,78,Sterling,VA
378,The Force Realty,11.73,6500000.0,Real Estate,360,Bellevue,WA
379,School Tech Supply,11.69,13300000.0,Education,31,Westlake Village,CA
