Site,Date,EnteroCount,FourDayRainTotal,SampleCount
Mohawk River at Waterford,7/19/2010,42,0.7,35
Mohawk River at Waterford,10/23/2009,32,0,35
Mohawk River at Waterford,9/17/2009,416,0,35
Mohawk River at Waterford,8/24/2009,1986,2.8,35
Mohawk River at Waterford,7/31/2009,2420,1.9,35
Mohawk River at Waterford,5/15/2009,48,0.5,35
Mohawk River at Waterford,10/23/2008,12,0.3,35
Mohawk River at Waterford,9/18/2008,8,0,35
Mohawk River at Waterford,9/14/2010,>2420,0,35
Hudson River above Troy Lock,10/23/2009,22,0,37
Hudson River above Troy Lock,8/21/2011,727,0.4,37
Hudson River above Troy Lock,6/19/2008,45,1.4,37
Hudson River above Troy Lock,7/17/2008,17,0.1,37
Hudson River above Troy Lock,8/9/2008,42,1.5,37
Hudson River above Troy Lock,9/18/2008,11,0,37
Hudson River above Troy Lock,10/23/2008,4,0.3,37
Hudson River above Troy Lock,5/15/2009,54,0.5,37
Hudson River above Troy Lock,6/13/2009,272,0.6,37
Hudson River above Troy Lock,7/31/2009,>2420,1.9,37
Hudson River above Troy Lock,8/24/2009,260,2.8,37
Hudson River above Troy Lock,9/17/2009,99,0,37
Hudson River above Troy Lock,8/19/2013,41,0,37
Hudson River above Troy Lock,5/25/2010,30,0,37
Hudson River above Troy Lock,10/21/2013,117,0.2,37
Hudson River above Troy Lock,9/21/2013,199,0,37
Hudson River above Troy Lock,6/18/2010,387,0.2,37
Hudson River above Troy Lock,7/19/2010,579,0.7,37
Hudson River above Troy Lock,8/21/2010,67,0.2,37
Hudson River above Troy Lock,8/23/2010,345,0.6,37
Hudson River above Troy Lock,9/14/2010,32,0,37
Hudson River above Troy Lock,10/16/2010,1986,1.3,37
Hudson River above Troy Lock,5/19/2011,96,1.6,37
Hudson River above Troy Lock,7/2/2011,63,2.1,37
Hudson River above Troy Lock,7/14/2011,108,0.3,37
Hudson River above Troy Lock,5/22/2008,34,0.2,37
Hudson River above Troy Lock,9/19/2011,72,0.1,37
Hudson River above Troy Lock,10/16/2011,1553,1.5,37
Hudson River above Troy Lock,5/20/2012,96,0,37
Hudson River above Troy Lock,6/16/2012,49,0.2,37
Hudson River above Troy Lock,7/21/2012,28,0.2,37
Hudson River above Troy Lock,8/18/2012,33,0.3,37
Hudson River above Troy Lock,9/15/2012,64,0.1,37
Hudson River above Troy Lock,10/15/2012,65,1.4,37
Hudson River above Troy Lock,7/21/2013,67,0,37
Hudson River above Troy Lock,6/4/2013,980,1.2,37
Hudson River above Troy Lock,6/24/2013,1203,1.4,37
Congress St. Bridge- Troy,7/21/2013,40,0,38
Congress St. Bridge- Troy,5/22/2008,24,0.2,38
Congress St. Bridge- Troy,6/19/2008,56,1.4,38
Congress St. Bridge- Troy,10/23/2009,30,0,38
Congress St. Bridge- Troy,6/4/2013,1300,1.2,38
Congress St. Bridge- Troy,10/15/2012,56,1.4,38
Congress St. Bridge- Troy,9/15/2012,61,0.1,38
Congress St. Bridge- Troy,8/18/2012,7,0.3,38
Congress St. Bridge- Troy,7/21/2012,6,0.2,38
Congress St. Bridge- Troy,6/16/2012,20,0.2,38
Congress St. Bridge- Troy,5/16/2009,18,0.5,38
Congress St. Bridge- Troy,5/20/2012,24,0,38
Congress St. Bridge- Troy,10/16/2011,1414,1.5,38
Congress St. Bridge- Troy,9/19/2011,50,0.1,38
Congress St. Bridge- Troy,10/21/2013,36,0.2,38
Congress St. Bridge- Troy,8/21/2011,435,0.4,38
Congress St. Bridge- Troy,7/14/2011,219,0.3,38
Congress St. Bridge- Troy,7/2/2011,17,2.1,38
Congress St. Bridge- Troy,5/19/2011,81,1.6,38
Congress St. Bridge- Troy,10/16/2010,525,1.3,38
Congress St. Bridge- Troy,9/14/2010,31,0,38
Congress St. Bridge- Troy,8/23/2010,727,0.6,38
Congress St. Bridge- Troy,8/21/2010,84,0.2,38
Congress St. Bridge- Troy,7/19/2010,50,0.7,38
Congress St. Bridge- Troy,6/18/2010,602,0.2,38
Congress St. Bridge- Troy,5/25/2010,28,0,38
Congress St. Bridge- Troy,9/17/2009,96,0,38
Congress St. Bridge- Troy,8/24/2009,190,2.8,38
Congress St. Bridge- Troy,7/31/2009,>2420,1.9,38
Congress St. Bridge- Troy,6/13/2009,46,0.6,38
Congress St. Bridge- Troy,5/15/2009,35,0.5,38
Congress St. Bridge- Troy,10/23/2008,7,0.3,38
Congress St. Bridge- Troy,9/18/2008,47,0,38
Congress St. Bridge- Troy,8/9/2008,26,1.5,38
Congress St. Bridge- Troy,7/17/2008,38,0.1,38
Congress St. Bridge- Troy,9/21/2013,33,0,38
Congress St. Bridge- Troy,8/19/2013,108,0,38
Congress St. Bridge- Troy,6/24/2013,411,1.4,38
Albany Rowing Dock,6/18/2010,139,0.2,36
Albany Rowing Dock,6/19/2008,143,1.4,36
Albany Rowing Dock,5/22/2008,45,0.2,36
Albany Rowing Dock,9/18/2008,201,0,36
Albany Rowing Dock,10/23/2008,3,0.3,36
Albany Rowing Dock,5/15/2009,88,0.5,36
Albany Rowing Dock,6/13/2009,42,0.6,36
Albany Rowing Dock,7/31/2009,>2420,1.9,36
Albany Rowing Dock,8/24/2009,161,2.8,36
Albany Rowing Dock,9/17/2009,39,0,36
Albany Rowing Dock,10/23/2009,25,0,36
Albany Rowing Dock,5/25/2010,7,0,36
Albany Rowing Dock,7/17/2008,12,0.1,36
Albany Rowing Dock,8/21/2010,21,0.2,36
Albany Rowing Dock,9/14/2010,82,0,36
Albany Rowing Dock,10/16/2010,921,1.3,36
Albany Rowing Dock,5/19/2011,687,1.6,36
Albany Rowing Dock,7/2/2011,31,2.1,36
Albany Rowing Dock,7/14/2011,82,0.3,36
Albany Rowing Dock,8/21/2011,687,0.4,36
Albany Rowing Dock,9/19/2011,59,0.1,36
Albany Rowing Dock,10/16/2011,>2420,1.5,36
Albany Rowing Dock,8/9/2008,40,1.5,36
Albany Rowing Dock,6/16/2012,53,0.2,36
Albany Rowing Dock,7/21/2012,18,0.2,36
Albany Rowing Dock,8/18/2012,12,0.3,36
Albany Rowing Dock,9/15/2012,21,0.1,36
Albany Rowing Dock,10/15/2012,81,1.4,36
Albany Rowing Dock,6/4/2013,1300,1.2,36
Albany Rowing Dock,6/24/2013,75,1.4,36
Albany Rowing Dock,8/19/2013,36,0,36
Albany Rowing Dock,9/21/2013,40,0,36
Albany Rowing Dock,10/21/2013,30,0.2,36
Albany Rowing Dock,7/19/2010,51,0.7,36
Albany Rowing Dock,5/20/2012,20,0,36
Albany Rowing Dock,7/21/2013,22,0,36
Dunn Memorial Bridge- Albany,6/16/2012,17,0.2,38
Dunn Memorial Bridge- Albany,5/22/2008,32,0.2,38
Dunn Memorial Bridge- Albany,8/9/2008,20,1.5,38
Dunn Memorial Bridge- Albany,10/21/2013,134,0.2,38
Dunn Memorial Bridge- Albany,9/21/2013,46,0,38
Dunn Memorial Bridge- Albany,8/19/2013,29,0,38
Dunn Memorial Bridge- Albany,7/21/2013,19,0,38
Dunn Memorial Bridge- Albany,6/24/2013,1553,1.4,38
Dunn Memorial Bridge- Albany,6/4/2013,1553,1.2,38
Dunn Memorial Bridge- Albany,10/15/2012,411,1.4,38
Dunn Memorial Bridge- Albany,9/15/2012,211,0.1,38
Dunn Memorial Bridge- Albany,8/18/2012,17,0.3,38
Dunn Memorial Bridge- Albany,7/19/2010,179,0.7,38
Dunn Memorial Bridge- Albany,7/21/2012,3,0.2,38
Dunn Memorial Bridge- Albany,5/20/2012,187,0,38
Dunn Memorial Bridge- Albany,10/16/2011,>2420,1.5,38
Dunn Memorial Bridge- Albany,9/19/2011,687,0.1,38
Dunn Memorial Bridge- Albany,8/21/2011,34,0.4,38
Dunn Memorial Bridge- Albany,7/14/2011,76,0.3,38
Dunn Memorial Bridge- Albany,7/2/2011,84,2.1,38
Dunn Memorial Bridge- Albany,5/19/2011,770,1.6,38
Dunn Memorial Bridge- Albany,10/16/2010,488,1.3,38
Dunn Memorial Bridge- Albany,9/14/2010,88,0,38
Dunn Memorial Bridge- Albany,8/23/2010,488,0.6,38
Dunn Memorial Bridge- Albany,6/19/2008,59,1.4,38
Dunn Memorial Bridge- Albany,8/21/2010,25,0.2,38
Dunn Memorial Bridge- Albany,7/17/2008,6,0.1,38
Dunn Memorial Bridge- Albany,6/18/2010,135,0.2,38
Dunn Memorial Bridge- Albany,5/25/2010,980,0,38
Dunn Memorial Bridge- Albany,10/23/2009,49,0,38
Dunn Memorial Bridge- Albany,9/17/2009,43,0,38
Dunn Memorial Bridge- Albany,8/24/2009,76,2.8,38
Dunn Memorial Bridge- Albany,7/31/2009,>2420,1.9,38
Dunn Memorial Bridge- Albany,6/13/2009,32,0.6,38
Dunn Memorial Bridge- Albany,5/16/2009,84,0.5,38
Dunn Memorial Bridge- Albany,5/15/2009,88,0.5,38
Dunn Memorial Bridge- Albany,10/23/2008,10,0.3,38
Dunn Memorial Bridge- Albany,9/18/2008,50,0,38
Island Creek/Normans Kill,5/20/2012,16,0,35
Island Creek/Normans Kill,9/21/2013,33,0,35
Island Creek/Normans Kill,8/19/2013,19,0,35
Island Creek/Normans Kill,7/21/2013,32,0,35
Island Creek/Normans Kill,6/24/2013,40,1.4,35
Island Creek/Normans Kill,6/4/2013,1046,1.2,35
Island Creek/Normans Kill,10/15/2012,146,1.4,35
Island Creek/Normans Kill,9/15/2012,13,0.1,35
Island Creek/Normans Kill,8/18/2012,22,0.3,35
Island Creek/Normans Kill,7/21/2012,11,0.2,35
Island Creek/Normans Kill,6/16/2012,29,0.2,35
Island Creek/Normans Kill,10/16/2011,>2420,1.5,35
Island Creek/Normans Kill,9/19/2011,93,0.1,35
Island Creek/Normans Kill,8/21/2011,866,0.4,35
Island Creek/Normans Kill,7/14/2011,30,0.3,35
Island Creek/Normans Kill,5/19/2011,1733,1.6,35
Island Creek/Normans Kill,10/16/2010,>2420,1.3,35
Island Creek/Normans Kill,9/14/2010,104,0,35
Island Creek/Normans Kill,8/21/2010,20,0.2,35
Island Creek/Normans Kill,7/19/2010,122,0.7,35
Island Creek/Normans Kill,6/18/2010,137,0.2,35
Island Creek/Normans Kill,8/9/2008,613,1.5,35
Island Creek/Normans Kill,7/17/2008,12,0.1,35
Island Creek/Normans Kill,10/23/2009,23,0,35
Island Creek/Normans Kill,8/24/2009,163,2.8,35
Island Creek/Normans Kill,7/31/2009,>2420,1.9,35
Island Creek/Normans Kill,6/13/2009,727,0.6,35
Island Creek/Normans Kill,5/15/2009,179,0.5,35
Island Creek/Normans Kill,10/23/2008,2,0.3,35
Island Creek/Normans Kill,6/19/2008,1414,1.4,35
Island Creek/Normans Kill,9/18/2008,100,0,35
Island Creek/Normans Kill,5/25/2010,6,0,35
Island Creek/Normans Kill,10/21/2013,39,0.2,35
Island Creek/Normans Kill,7/2/2011,18,2.1,35
Island Creek/Normans Kill,9/17/2009,46,0,35
Bethlehem Launch Ramp,6/4/2013,>2420,1.2,36
Bethlehem Launch Ramp,7/19/2010,32,0.7,36
Bethlehem Launch Ramp,8/9/2008,26,1.5,36
Bethlehem Launch Ramp,9/18/2008,43,0,36
Bethlehem Launch Ramp,10/23/2008,8,0.3,36
Bethlehem Launch Ramp,5/15/2009,68,0.5,36
Bethlehem Launch Ramp,6/13/2009,85,0.6,36
Bethlehem Launch Ramp,7/31/2009,1120,1.9,36
Bethlehem Launch Ramp,8/24/2009,57,2.8,36
Bethlehem Launch Ramp,9/17/2009,20,0,36
Bethlehem Launch Ramp,10/23/2009,20,0,36
Bethlehem Launch Ramp,5/25/2010,13,0,36
Bethlehem Launch Ramp,6/16/2012,4,0.2,36
Bethlehem Launch Ramp,8/21/2010,1,0.2,36
Bethlehem Launch Ramp,5/22/2008,5,0.2,36
Bethlehem Launch Ramp,6/19/2008,18,1.4,36
Bethlehem Launch Ramp,10/21/2013,14,0.2,36
Bethlehem Launch Ramp,9/14/2010,9,0,36
Bethlehem Launch Ramp,10/16/2010,921,1.3,36
Bethlehem Launch Ramp,5/19/2011,727,1.6,36
Bethlehem Launch Ramp,7/2/2011,16,2.1,36
Bethlehem Launch Ramp,7/14/2011,4,0.3,36
Bethlehem Launch Ramp,8/21/2011,13,0,36
Bethlehem Launch Ramp,9/19/2011,11,0.1,36
Bethlehem Launch Ramp,10/16/2011,2420,1.5,36
Bethlehem Launch Ramp,5/20/2012,21,0,36
Bethlehem Launch Ramp,6/18/2010,91,0.2,36
Bethlehem Launch Ramp,7/17/2008,17,0.1,36
Bethlehem Launch Ramp,7/21/2012,6,0.2,36
Bethlehem Launch Ramp,8/18/2012,7,0.3,36
Bethlehem Launch Ramp,9/15/2012,20,0.1,36
Bethlehem Launch Ramp,10/15/2012,24,1,36
Bethlehem Launch Ramp,6/24/2013,52,0,36
Bethlehem Launch Ramp,7/21/2013,4,0,36
Bethlehem Launch Ramp,8/19/2013,7,0,36
Bethlehem Launch Ramp,9/21/2013,17,0,36
Castleton,10/16/2011,1414,1.5,35
Castleton,5/20/2012,20,0,35
Castleton,6/16/2012,<1,0.2,35
Castleton,9/17/2008,4,0.3,35
Castleton,10/23/2008,5,0.3,35
Castleton,5/15/2009,291,0.5,35
Castleton,6/13/2009,126,0.6,35
Castleton,7/31/2009,770,1.9,35
Castleton,8/24/2009,687,2.8,35
Castleton,9/17/2009,21,0,35
Castleton,10/23/2009,26,0,35
Castleton,5/25/2010,1,0,35
Castleton,6/18/2010,64,0.2,35
Castleton,8/18/2012,7,0.3,35
Castleton,8/21/2010,8,0.2,35
Castleton,9/14/2010,26,0,35
Castleton,10/16/2010,649,1.3,35
Castleton,5/19/2011,328,1.6,35
Castleton,7/2/2011,25,2.1,35
Castleton,7/14/2011,2,0.3,35
Castleton,8/21/2011,9,0,35
Castleton,9/19/2011,22,0.1,35
Castleton,10/21/2013,25,0.2,35
Castleton,7/21/2012,5,0.2,35
Castleton,8/19/2013,14,0,35
Castleton,7/21/2013,20,0,35
Castleton,6/24/2013,69,0,35
Castleton,6/4/2013,1733,1.2,35
Castleton,10/15/2012,31,1,35
Castleton,9/15/2012,8,0.1,35
Castleton,7/19/2010,5,0.7,35
Castleton,7/17/2008,6,0.1,35
Castleton,6/19/2008,38,1.4,35
Castleton,8/9/2008,45,1.5,35
Castleton,9/21/2013,5,0,35
Coeymans Landing,6/4/2013,1986,1.2,36
Coeymans Landing,5/25/2010,1,0,36
Coeymans Landing,10/23/2008,3,0.3,36
Coeymans Landing,9/17/2008,11,0.3,36
Coeymans Landing,8/9/2008,194,1.5,36
Coeymans Landing,7/17/2008,8,0.1,36
Coeymans Landing,6/19/2008,14,1.4,36
Coeymans Landing,5/22/2008,<1,0.2,36
Coeymans Landing,10/16/2010,649,1.3,36
Coeymans Landing,9/14/2010,22,0,36
Coeymans Landing,8/21/2010,8,0.2,36
Coeymans Landing,7/19/2010,10,0.7,36
Coeymans Landing,6/18/2010,16,0.2,36
Coeymans Landing,5/15/2009,8,0.5,36
Coeymans Landing,10/21/2013,5,0.2,36
Coeymans Landing,7/2/2011,15,2.1,36
Coeymans Landing,7/14/2011,6,0.3,36
Coeymans Landing,8/21/2011,12,0,36
Coeymans Landing,9/19/2011,63,0.1,36
Coeymans Landing,10/16/2011,1986,1.5,36
Coeymans Landing,5/20/2012,11,0,36
Coeymans Landing,10/23/2009,6,0,36
Coeymans Landing,6/16/2012,6,0.2,36
Coeymans Landing,6/24/2013,34,0,36
Coeymans Landing,8/18/2012,19,0.3,36
Coeymans Landing,9/15/2012,21,0.1,36
Coeymans Landing,10/15/2012,7,1,36
Coeymans Landing,9/17/2009,12,0,36
Coeymans Landing,8/24/2009,770,2.8,36
Coeymans Landing,6/12/2009,20,1.2,36
Coeymans Landing,7/31/2009,261,1.9,36
Coeymans Landing,9/21/2013,12,0,36
Coeymans Landing,8/19/2013,7,0,36
Coeymans Landing,7/21/2013,22,0,36
Coeymans Landing,5/19/2011,488,1.6,36
Coeymans Landing,7/21/2012,2,0.2,36
Coxsackie Waterfront Park,9/15/2012,11,0.1,35
Coxsackie Waterfront Park,9/17/2009,12,0,35
Coxsackie Waterfront Park,9/21/2013,6,0,35
Coxsackie Waterfront Park,8/19/2013,6,0,35
Coxsackie Waterfront Park,7/21/2013,27,0,35
Coxsackie Waterfront Park,6/24/2013,67,0,35
Coxsackie Waterfront Park,6/4/2013,89,1.2,35
Coxsackie Waterfront Park,10/21/2013,14,0.2,35
Coxsackie Waterfront Park,6/18/2008,7,1.4,35
Coxsackie Waterfront Park,7/17/2008,11,0.1,35
Coxsackie Waterfront Park,8/9/2008,435,1.5,35
Coxsackie Waterfront Park,9/17/2008,8,0.3,35
Coxsackie Waterfront Park,8/21/2011,<1,0,35
Coxsackie Waterfront Park,10/23/2008,11,0.3,35
Coxsackie Waterfront Park,5/15/2009,5,0.5,35
Coxsackie Waterfront Park,6/12/2009,10,1.2,35
Coxsackie Waterfront Park,10/15/2012,10,1,35
Coxsackie Waterfront Park,10/23/2009,9,0,35
Coxsackie Waterfront Park,8/18/2012,15,0.3,35
Coxsackie Waterfront Park,7/21/2012,9,0.2,35
Coxsackie Waterfront Park,6/16/2012,16,0.2,35
Coxsackie Waterfront Park,5/20/2012,49,0,35
Coxsackie Waterfront Park,10/16/2011,2420,1.5,35
Coxsackie Waterfront Park,9/19/2011,28,0.1,35
Coxsackie Waterfront Park,7/31/2009,345,1.9,35
Coxsackie Waterfront Park,7/14/2011,13,0.3,35
Coxsackie Waterfront Park,7/2/2011,47,2.1,35
Coxsackie Waterfront Park,5/19/2011,378,1.6,35
Coxsackie Waterfront Park,10/16/2010,96,1.3,35
Coxsackie Waterfront Park,9/14/2010,42,0,35
Coxsackie Waterfront Park,8/21/2010,2,0.2,35
Coxsackie Waterfront Park,7/19/2010,3,0.7,35
Coxsackie Waterfront Park,6/18/2010,12,0.2,35
Coxsackie Waterfront Park,5/25/2010,19,0,35
Coxsackie Waterfront Park,8/24/2009,1733,2.8,35
Gay's Point mid-channel,9/19/2011,14,0.1,36
Gay's Point mid-channel,9/15/2012,9,0.1,36
Gay's Point mid-channel,6/16/2012,4,0.2,36
Gay's Point mid-channel,5/25/2010,4,0,36
Gay's Point mid-channel,6/18/2010,14,0.2,36
Gay's Point mid-channel,7/19/2010,5,0.7,36
Gay's Point mid-channel,8/23/2010,10,0.6,36
Gay's Point mid-channel,9/14/2010,8,0,36
Gay's Point mid-channel,8/18/2012,17,0.3,36
Gay's Point mid-channel,5/19/2011,260,1.6,36
Gay's Point mid-channel,10/16/2011,1733,1.5,36
Gay's Point mid-channel,7/2/2011,37,2.1,36
Gay's Point mid-channel,5/20/2012,19,0,36
Gay's Point mid-channel,7/14/2011,10,0.3,36
Gay's Point mid-channel,8/21/2011,6,0,36
Gay's Point mid-channel,8/21/2010,3,0.2,36
Gay's Point mid-channel,10/23/2009,8,0,36
Gay's Point mid-channel,8/24/2009,2420,2.8,36
Gay's Point mid-channel,7/31/2009,1203,1.9,36
Gay's Point mid-channel,6/12/2009,6,1.2,36
Gay's Point mid-channel,5/16/2009,1,0.5,36
Gay's Point mid-channel,5/15/2009,1,0.5,36
Gay's Point mid-channel,10/23/2008,10,0.3,36
Gay's Point mid-channel,9/17/2008,11,0.3,36
Gay's Point mid-channel,8/9/2008,613,1.5,36
Gay's Point mid-channel,7/17/2008,7,0.1,36
Gay's Point mid-channel,10/15/2012,3,1,36
Gay's Point mid-channel,6/4/2013,345,1.2,36
Gay's Point mid-channel,6/24/2013,15,0,36
Gay's Point mid-channel,7/21/2013,20,0,36
Gay's Point mid-channel,9/21/2013,8,0,36
Gay's Point mid-channel,10/21/2013,9,0.2,36
Gay's Point mid-channel,10/16/2010,116,1.3,36
Gay's Point mid-channel,9/17/2009,13,0,36
Gay's Point mid-channel,7/21/2012,1,0.2,36
Gay's Point mid-channel,8/19/2013,17,0,36
Athens,8/24/2009,1733,2.8,35
Athens,6/18/2008,36,1,35
Athens,7/17/2008,16,0.1,35
Athens,8/19/2013,20,0,35
Athens,9/21/2013,19,0,35
Athens,10/21/2013,13,0.2,35
Athens,8/9/2008,70,1.5,35
Athens,9/17/2008,10,0.3,35
Athens,10/23/2008,30,0.3,35
Athens,5/15/2009,7,0.5,35
Athens,6/12/2009,87,1.2,35
Athens,7/31/2009,>2420,1.9,35
Athens,9/15/2012,6,0.1,35
Athens,9/17/2009,98,0,35
Athens,5/25/2010,8,0,35
Athens,6/18/2010,76,0.2,35
Athens,7/19/2010,20,0.7,35
Athens,8/21/2010,5,0.2,35
Athens,10/23/2009,6,0,35
Athens,9/14/2010,27,0,35
Athens,10/16/2010,65,1.3,35
Athens,5/19/2011,119,1.6,35
Athens,7/2/2011,67,2.1,35
Athens,7/14/2011,24,0.3,35
Athens,8/18/2012,16,0.3,35
Athens,9/19/2011,29,0.1,35
Athens,7/21/2013,51,0,35
Athens,6/24/2013,201,0,35
Athens,6/4/2013,37,1.2,35
Athens,10/15/2012,30,1,35
Athens,10/16/2011,1553,1.5,35
Athens,5/19/2012,66,0.1,35
Athens,6/16/2012,24,0.2,35
Athens,7/21/2012,38,0.2,35
Athens,8/20/2011,19,0,35
Hudson Landing Ramp,6/18/2008,21,1,37
Hudson Landing Ramp,10/21/2013,11,0.2,37
Hudson Landing Ramp,9/21/2013,13,0,37
Hudson Landing Ramp,8/19/2013,14,0,37
Hudson Landing Ramp,7/21/2013,23,0,37
Hudson Landing Ramp,6/24/2013,91,0,37
Hudson Landing Ramp,6/4/2013,75,1.2,37
Hudson Landing Ramp,10/15/2012,20,1,37
Hudson Landing Ramp,9/15/2012,4,0.1,37
Hudson Landing Ramp,8/18/2012,16,0.3,37
Hudson Landing Ramp,7/21/2012,8,0.2,37
Hudson Landing Ramp,6/16/2012,7,0.2,37
Hudson Landing Ramp,5/19/2012,26,0.1,37
Hudson Landing Ramp,10/16/2011,1986,1.5,37
Hudson Landing Ramp,9/19/2011,38,0.1,37
Hudson Landing Ramp,8/20/2011,7,0,37
Hudson Landing Ramp,7/14/2011,6,0.3,37
Hudson Landing Ramp,7/2/2011,74,2.1,37
Hudson Landing Ramp,5/19/2011,238,1.6,37
Hudson Landing Ramp,5/22/2008,8,0.2,37
Hudson Landing Ramp,9/14/2010,19,0,37
Hudson Landing Ramp,8/21/2010,12,0.2,37
Hudson Landing Ramp,7/19/2010,11,0.7,37
Hudson Landing Ramp,6/18/2010,65,0.2,37
Hudson Landing Ramp,5/25/2010,4,0,37
Hudson Landing Ramp,10/23/2009,4,0,37
Hudson Landing Ramp,9/17/2009,16,0,37
Hudson Landing Ramp,8/24/2009,727,2.8,37
Hudson Landing Ramp,7/31/2009,>2420,1.9,37
Hudson Landing Ramp,6/12/2009,249,1.2,37
Hudson Landing Ramp,5/16/2009,26,0.5,37
Hudson Landing Ramp,5/15/2009,7,0.5,37
Hudson Landing Ramp,10/23/2008,10,0.3,37
Hudson Landing Ramp,9/17/2008,9,0.3,37
Hudson Landing Ramp,8/9/2008,65,1.5,37
Hudson Landing Ramp,7/17/2008,12,0.1,37
Hudson Landing Ramp,10/16/2010,125,1.3,37
Catskill Creek- First Bridge,6/15/2012,18,0.7,38
Catskill Creek- First Bridge,10/20/2013,6,0.2,38
Catskill Creek- First Bridge,9/21/2013,2,0,38
Catskill Creek- First Bridge,8/19/2013,13,0,38
Catskill Creek- First Bridge,7/21/2013,5,0,38
Catskill Creek- First Bridge,9/14/2010,11,0,38
Catskill Creek- First Bridge,6/24/2013,21,0,38
Catskill Creek- First Bridge,6/3/2013,10,1.2,38
Catskill Creek- First Bridge,10/15/2012,7,1,38
Catskill Creek- First Bridge,9/14/2012,4,0,38
Catskill Creek- First Bridge,7/24/2012,8,0.3,38
Catskill Creek- First Bridge,7/20/2012,42,0.2,38
Catskill Creek- First Bridge,10/23/2008,4,0.3,38
Catskill Creek- First Bridge,10/16/2011,159,1.6,38
Catskill Creek- First Bridge,9/19/2011,12,0.1,38
Catskill Creek- First Bridge,8/20/2011,14,0,38
Catskill Creek- First Bridge,7/15/2011,24,0.3,38
Catskill Creek- First Bridge,5/15/2009,7,0.5,38
Catskill Creek- First Bridge,5/19/2012,0,0.1,38
Catskill Creek- First Bridge,7/1/2011,4,2.3,38
Catskill Creek- First Bridge,5/19/2011,727,1.6,38
Catskill Creek- First Bridge,10/16/2010,1986,1.3,38
Catskill Creek- First Bridge,9/16/2008,1,0.4,38
Catskill Creek- First Bridge,8/23/2010,>2420,0.6,38
Catskill Creek- First Bridge,6/12/2009,727,1.2,38
