ICD.Chapter,State,Year,Deaths,Population,Crude.Rate
Certain infectious and parasitic diseases,IA,2006,427,2982644,14.3
Certain infectious and parasitic diseases,IA,2007,435,2999212,14.5
Certain infectious and parasitic diseases,IA,2008,493,3016734,16.3
Certain infectious and parasitic diseases,IA,2009,462,3032870,15.2
Certain infectious and parasitic diseases,IA,2010,446,3046355,14.6
Certain infectious and parasitic diseases,KS,1999,430,2678338,16.1
Certain infectious and parasitic diseases,KS,2000,400,2688418,14.9
Certain infectious and parasitic diseases,KS,2001,433,2702162,16
Certain infectious and parasitic diseases,KS,2002,475,2713535,17.5
Certain infectious and parasitic diseases,KS,2003,495,2723004,18.2
Certain infectious and parasitic diseases,KS,2004,433,2734373,15.8
Certain infectious and parasitic diseases,KS,2005,437,2745299,15.9
Certain infectious and parasitic diseases,KS,2006,485,2762931,17.6
Certain infectious and parasitic diseases,KS,2007,473,2783785,17
Certain infectious and parasitic diseases,KS,2008,560,2808076,19.9
Certain infectious and parasitic diseases,KS,2009,610,2832704,21.5
Certain infectious and parasitic diseases,KS,2010,542,2853118,19
Certain infectious and parasitic diseases,KY,1999,838,4018053,20.9
Certain infectious and parasitic diseases,KY,2000,831,4041769,20.6
Certain infectious and parasitic diseases,KY,2001,873,4068132,21.5
Certain infectious and parasitic diseases,KY,2002,903,4089875,22.1
Certain infectious and parasitic diseases,KY,2003,835,4117170,20.3
Certain infectious and parasitic diseases,KY,2004,879,4146101,21.2
Certain infectious and parasitic diseases,KY,2005,875,4182742,20.9
Certain infectious and parasitic diseases,KY,2006,964,4219239,22.8
Certain infectious and parasitic diseases,KY,2007,988,4256672,23.2
Certain infectious and parasitic diseases,KY,2008,1059,4289878,24.7
Certain infectious and parasitic diseases,KY,2009,1125,4317074,26.1
Certain infectious and parasitic diseases,KY,2010,1098,4339367,25.3
Certain infectious and parasitic diseases,LA,1999,1385,4460811,31
Certain infectious and parasitic diseases,LA,2000,1436,4468976,32.1
Certain infectious and parasitic diseases,LA,2001,1426,4477875,31.8
Certain infectious and parasitic diseases,LA,2002,1487,4497267,33.1
Certain infectious and parasitic diseases,LA,2003,1500,4521042,33.2
Certain infectious and parasitic diseases,LA,2004,1540,4552238,33.8
Certain infectious and parasitic diseases,LA,2005,1608,4576628,35.1
Certain infectious and parasitic diseases,LA,2006,1401,4302665,32.6
Certain infectious and parasitic diseases,LA,2007,1480,4375581,33.8
Certain infectious and parasitic diseases,LA,2008,1463,4435586,33
Certain infectious and parasitic diseases,LA,2009,1459,4491648,32.5
Certain infectious and parasitic diseases,LA,2010,1336,4533372,29.5
Certain infectious and parasitic diseases,ME,1999,189,1266808,14.9
Certain infectious and parasitic diseases,ME,2000,188,1274923,14.7
Certain infectious and parasitic diseases,ME,2001,185,1285692,14.4
Certain infectious and parasitic diseases,ME,2002,223,1295960,17.2
Certain infectious and parasitic diseases,ME,2003,228,1306513,17.5
Certain infectious and parasitic diseases,ME,2004,299,1313688,22.8
Certain infectious and parasitic diseases,ME,2005,296,1318787,22.4
Certain infectious and parasitic diseases,ME,2006,291,1323619,22
Certain infectious and parasitic diseases,ME,2007,285,1327040,21.5
Certain infectious and parasitic diseases,ME,2008,266,1330509,20
Certain infectious and parasitic diseases,ME,2009,288,1329590,21.7
Certain infectious and parasitic diseases,ME,2010,276,1328361,20.8
Certain infectious and parasitic diseases,MD,1999,1886,5254509,35.9
Certain infectious and parasitic diseases,MD,2000,1779,5296486,33.6
Certain infectious and parasitic diseases,MD,2001,1839,5374691,34.2
Certain infectious and parasitic diseases,MD,2002,1962,5440389,36.1
Certain infectious and parasitic diseases,MD,2003,2076,5496269,37.8
Certain infectious and parasitic diseases,MD,2004,1972,5546935,35.6
Certain infectious and parasitic diseases,MD,2005,2017,5592379,36.1
Certain infectious and parasitic diseases,MD,2006,1902,5627367,33.8
Certain infectious and parasitic diseases,MD,2007,1820,5653408,32.2
Certain infectious and parasitic diseases,MD,2008,1924,5684965,33.8
Certain infectious and parasitic diseases,MD,2009,1967,5730388,34.3
Certain infectious and parasitic diseases,MD,2010,1693,5773552,29.3
Certain infectious and parasitic diseases,MA,1999,1471,6317345,23.3
Certain infectious and parasitic diseases,MA,2000,1406,6349097,22.1
Certain infectious and parasitic diseases,MA,2001,1488,6397634,23.3
Certain infectious and parasitic diseases,MA,2002,1534,6417206,23.9
Certain infectious and parasitic diseases,MA,2003,1552,6422565,24.2
Certain infectious and parasitic diseases,MA,2004,1543,6412281,24.1
Certain infectious and parasitic diseases,MA,2005,1598,6403290,25
Certain infectious and parasitic diseases,MA,2006,1556,6410084,24.3
Certain infectious and parasitic diseases,MA,2007,1496,6431559,23.3
Certain infectious and parasitic diseases,MA,2008,1476,6468967,22.8
Certain infectious and parasitic diseases,MA,2009,1496,6517613,23
Certain infectious and parasitic diseases,MA,2010,1551,6547629,23.7
Certain infectious and parasitic diseases,MI,1999,1841,9897116,18.6
Certain infectious and parasitic diseases,MI,2000,1705,9938444,17.2
Certain infectious and parasitic diseases,MI,2001,1551,9991120,15.5
Certain infectious and parasitic diseases,MI,2002,1681,10015710,16.8
Certain infectious and parasitic diseases,MI,2003,1603,10041152,16
Certain infectious and parasitic diseases,MI,2004,1569,10055315,15.6
Certain infectious and parasitic diseases,MI,2005,1777,10051137,17.7
Certain infectious and parasitic diseases,MI,2006,1737,10036081,17.3
Certain infectious and parasitic diseases,MI,2007,1769,10001284,17.7
Certain infectious and parasitic diseases,MI,2008,1902,9946889,19.1
Certain infectious and parasitic diseases,MI,2009,1867,9901591,18.9
Certain infectious and parasitic diseases,MI,2010,1872,9883640,18.9
Certain infectious and parasitic diseases,MN,1999,495,4873481,10.2
Certain infectious and parasitic diseases,MN,2000,466,4919479,9.5
Certain infectious and parasitic diseases,MN,2001,457,4982796,9.2
Certain infectious and parasitic diseases,MN,2002,538,5018935,10.7
Certain infectious and parasitic diseases,MN,2003,554,5053572,11
Certain infectious and parasitic diseases,MN,2004,517,5087713,10.2
Certain infectious and parasitic diseases,MN,2005,542,5119598,10.6
Certain infectious and parasitic diseases,MN,2006,566,5163555,11
Certain infectious and parasitic diseases,MN,2007,641,5207203,12.3
Certain infectious and parasitic diseases,MN,2008,638,5247018,12.2
Certain infectious and parasitic diseases,MN,2009,656,5281203,12.4
Certain infectious and parasitic diseases,MN,2010,678,5303925,12.8
Certain infectious and parasitic diseases,MS,1999,721,2828408,25.5
Certain infectious and parasitic diseases,MS,2000,816,2844658,28.7
Certain infectious and parasitic diseases,MS,2001,833,2852994,29.2
Certain infectious and parasitic diseases,MS,2002,857,2858681,30
Certain infectious and parasitic diseases,MS,2003,875,2868312,30.5
Certain infectious and parasitic diseases,MS,2004,827,2889010,28.6
Certain infectious and parasitic diseases,MS,2005,902,2905943,31
Certain infectious and parasitic diseases,MS,2006,877,2904978,30.2
Certain infectious and parasitic diseases,MS,2007,848,2928350,29
Certain infectious and parasitic diseases,MS,2008,883,2947806,30
Certain infectious and parasitic diseases,MS,2009,893,2958774,30.2
Certain infectious and parasitic diseases,MS,2010,840,2967297,28.3
Certain infectious and parasitic diseases,MO,1999,1079,5561948,19.4
Certain infectious and parasitic diseases,MO,2000,1060,5595211,18.9
Certain infectious and parasitic diseases,MO,2001,1034,5641142,18.3
Certain infectious and parasitic diseases,MO,2002,1314,5674825,23.2
Certain infectious and parasitic diseases,MO,2003,1335,5709403,23.4
Certain infectious and parasitic diseases,MO,2004,1288,5747741,22.4
Certain infectious and parasitic diseases,MO,2005,1377,5790300,23.8
Certain infectious and parasitic diseases,MO,2006,1361,5842704,23.3
Certain infectious and parasitic diseases,MO,2007,1342,5887612,22.8
Certain infectious and parasitic diseases,MO,2008,1475,5923916,24.9
Certain infectious and parasitic diseases,MO,2009,1423,5961088,23.9
Certain infectious and parasitic diseases,MO,2010,1338,5988927,22.3
Certain infectious and parasitic diseases,MT,1999,118,897507,13.1
Certain infectious and parasitic diseases,MT,2000,110,902195,12.2
Certain infectious and parasitic diseases,MT,2001,113,906961,12.5
Certain infectious and parasitic diseases,MT,2002,113,911667,12.4
Certain infectious and parasitic diseases,MT,2003,148,919630,16.1
Certain infectious and parasitic diseases,MT,2004,123,930009,13.2
Certain infectious and parasitic diseases,MT,2005,117,940102,12.4
Certain infectious and parasitic diseases,MT,2006,147,952692,15.4
Certain infectious and parasitic diseases,MT,2007,140,964706,14.5
Certain infectious and parasitic diseases,MT,2008,129,976415,13.2
Certain infectious and parasitic diseases,MT,2009,162,983982,16.5
Certain infectious and parasitic diseases,MT,2010,160,989415,16.2
Certain infectious and parasitic diseases,NE,1999,194,1704764,11.4
Certain infectious and parasitic diseases,NE,2000,189,1711263,11
Certain infectious and parasitic diseases,NE,2001,212,1719836,12.3
Certain infectious and parasitic diseases,NE,2002,267,1728292,15.4
Certain infectious and parasitic diseases,NE,2003,252,1738643,14.5
Certain infectious and parasitic diseases,NE,2004,212,1749370,12.1
Certain infectious and parasitic diseases,NE,2005,231,1761497,13.1
Certain infectious and parasitic diseases,NE,2006,250,1772693,14.1
Certain infectious and parasitic diseases,NE,2007,275,1783440,15.4
Certain infectious and parasitic diseases,NE,2008,288,1796378,16
Certain infectious and parasitic diseases,NE,2009,252,1812683,13.9
Certain infectious and parasitic diseases,NE,2010,245,1826341,13.4
Certain infectious and parasitic diseases,NV,1999,495,1934718,25.6
Certain infectious and parasitic diseases,NV,2000,495,1998257,24.8
Certain infectious and parasitic diseases,NV,2001,552,2098399,26.3
Certain infectious and parasitic diseases,NV,2002,525,2173791,24.2
Certain infectious and parasitic diseases,NV,2003,604,2248850,26.9
Certain infectious and parasitic diseases,NV,2004,605,2346222,25.8
Certain infectious and parasitic diseases,NV,2005,645,2432143,26.5
Certain infectious and parasitic diseases,NV,2006,607,2522658,24.1
Certain infectious and parasitic diseases,NV,2007,640,2601072,24.6
Certain infectious and parasitic diseases,NV,2008,591,2653630,22.3
Certain infectious and parasitic diseases,NV,2009,577,2684665,21.5
Certain infectious and parasitic diseases,NV,2010,588,2700551,21.8
Certain infectious and parasitic diseases,NH,1999,119,1222014,9.7
Certain infectious and parasitic diseases,NH,2000,114,1235786,9.2
Certain infectious and parasitic diseases,NH,2001,118,1255517,9.4
Certain infectious and parasitic diseases,NH,2002,147,1269089,11.6
Certain infectious and parasitic diseases,NH,2003,169,1279840,13.2
Certain infectious and parasitic diseases,NH,2004,197,1290121,15.3
Certain infectious and parasitic diseases,NH,2005,202,1298492,15.6
Certain infectious and parasitic diseases,NH,2006,196,1308389,15
Certain infectious and parasitic diseases,NH,2007,254,1312540,19.4
Certain infectious and parasitic diseases,NH,2008,214,1315906,16.3
Certain infectious and parasitic diseases,NH,2009,248,1316102,18.8
Certain infectious and parasitic diseases,NH,2010,223,1316470,16.9
Certain infectious and parasitic diseases,NJ,1999,3072,8359592,36.7
Certain infectious and parasitic diseases,NJ,2000,2981,8414350,35.4
Certain infectious and parasitic diseases,NJ,2001,3057,8492671,36
Certain infectious and parasitic diseases,NJ,2002,3191,8552643,37.3
Certain infectious and parasitic diseases,NJ,2003,3059,8601402,35.6
Certain infectious and parasitic diseases,NJ,2004,3156,8634561,36.6
Certain infectious and parasitic diseases,NJ,2005,3156,8651974,36.5
Certain infectious and parasitic diseases,NJ,2006,3091,8661679,35.7
Certain infectious and parasitic diseases,NJ,2007,2833,8677885,32.6
Certain infectious and parasitic diseases,NJ,2008,2943,8711090,33.8
Certain infectious and parasitic diseases,NJ,2009,2781,8755602,31.8
Certain infectious and parasitic diseases,NJ,2010,2734,8791894,31.1
Certain infectious and parasitic diseases,NM,1999,279,1808082,15.4
Certain infectious and parasitic diseases,NM,2000,243,1819046,13.4
Certain infectious and parasitic diseases,NM,2001,267,1831690,14.6
Certain infectious and parasitic diseases,NM,2002,276,1855309,14.9
Certain infectious and parasitic diseases,NM,2003,301,1877574,16
Certain infectious and parasitic diseases,NM,2004,278,1903808,14.6
Certain infectious and parasitic diseases,NM,2005,322,1932274,16.7
Certain infectious and parasitic diseases,NM,2006,367,1962137,18.7
Certain infectious and parasitic diseases,NM,2007,354,1990070,17.8
Certain infectious and parasitic diseases,NM,2008,415,2010662,20.6
Certain infectious and parasitic diseases,NM,2009,472,2036802,23.2
Certain infectious and parasitic diseases,NM,2010,422,2059179,20.5
Certain infectious and parasitic diseases,NY,1999,5600,18882725,29.7
Certain infectious and parasitic diseases,NY,2000,5421,18976457,28.6
Certain infectious and parasitic diseases,NY,2001,5337,19082838,28
Certain infectious and parasitic diseases,NY,2002,5359,19137800,28
Certain infectious and parasitic diseases,NY,2003,5064,19175939,26.4
Certain infectious and parasitic diseases,NY,2004,5090,19171567,26.5
Certain infectious and parasitic diseases,NY,2005,5126,19132610,26.8
Certain infectious and parasitic diseases,NY,2006,5082,19104631,26.6
Certain infectious and parasitic diseases,NY,2007,4958,19132335,25.9
Certain infectious and parasitic diseases,NY,2008,5035,19212436,26.2
Certain infectious and parasitic diseases,NY,2009,5049,19307066,26.2
Certain infectious and parasitic diseases,NY,2010,4899,19378102,25.3
Certain infectious and parasitic diseases,NC,1999,1852,7949361,23.3
Certain infectious and parasitic diseases,NC,2000,1861,8049313,23.1
Certain infectious and parasitic diseases,NC,2001,1900,8210122,23.1
Certain infectious and parasitic diseases,NC,2002,2028,8326201,24.4
Certain infectious and parasitic diseases,NC,2003,2121,8422501,25.2
Certain infectious and parasitic diseases,NC,2004,2063,8553152,24.1
Certain infectious and parasitic diseases,NC,2005,2151,8705407,24.7
Certain infectious and parasitic diseases,NC,2006,2164,8917270,24.3
Certain infectious and parasitic diseases,NC,2007,2154,9118037,23.6
Certain infectious and parasitic diseases,NC,2008,2328,9309449,25
Certain infectious and parasitic diseases,NC,2009,2361,9449566,25
Certain infectious and parasitic diseases,NC,2010,2375,9535483,24.9
Certain infectious and parasitic diseases,ND,1999,65,644259,10.1
Certain infectious and parasitic diseases,ND,2000,59,642200,9.2
Certain infectious and parasitic diseases,ND,2001,65,639062,10.2
Certain infectious and parasitic diseases,ND,2002,71,638168,11.1
Certain infectious and parasitic diseases,ND,2003,63,638817,9.9
Certain infectious and parasitic diseases,ND,2004,67,644705,10.4
Certain infectious and parasitic diseases,ND,2005,69,646089,10.7
Certain infectious and parasitic diseases,ND,2006,70,649422,10.8
Certain infectious and parasitic diseases,ND,2007,61,652822,9.3
Certain infectious and parasitic diseases,ND,2008,73,657569,11.1
Certain infectious and parasitic diseases,ND,2009,82,664968,12.3
Certain infectious and parasitic diseases,ND,2010,83,672591,12.3
Certain infectious and parasitic diseases,OH,1999,2338,11335454,20.6
Certain infectious and parasitic diseases,OH,2000,2297,11353140,20.2
Certain infectious and parasitic diseases,OH,2001,2217,11387404,19.5
Certain infectious and parasitic diseases,OH,2002,2578,11407889,22.6
Certain infectious and parasitic diseases,OH,2003,2561,11434788,22.4
Certain infectious and parasitic diseases,OH,2004,2491,11452251,21.8
Certain infectious and parasitic diseases,OH,2005,2652,11463320,23.1
Certain infectious and parasitic diseases,OH,2006,2495,11481213,21.7
Certain infectious and parasitic diseases,OH,2007,2472,11500468,21.5
Certain infectious and parasitic diseases,OH,2008,2713,11515391,23.6
Certain infectious and parasitic diseases,OH,2009,2756,11528896,23.9
Certain infectious and parasitic diseases,OH,2010,2657,11536504,23
Certain infectious and parasitic diseases,OK,1999,718,3437147,20.9
Certain infectious and parasitic diseases,OK,2000,730,3450654,21.2
Certain infectious and parasitic diseases,OK,2001,687,3467100,19.8
Certain infectious and parasitic diseases,OK,2002,726,3489080,20.8
Certain infectious and parasitic diseases,OK,2003,787,3504892,22.5
Certain infectious and parasitic diseases,OK,2004,752,3525233,21.3
Certain infectious and parasitic diseases,OK,2005,838,3548597,23.6
Certain infectious and parasitic diseases,OK,2006,849,3594090,23.6
Certain infectious and parasitic diseases,OK,2007,884,3634349,24.3
Certain infectious and parasitic diseases,OK,2008,903,3668976,24.6
Certain infectious and parasitic diseases,OK,2009,909,3717572,24.5
Certain infectious and parasitic diseases,OK,2010,832,3751351,22.2
Certain infectious and parasitic diseases,OR,1999,428,3393941,12.6
Certain infectious and parasitic diseases,OR,2000,435,3421399,12.7
Certain infectious and parasitic diseases,OR,2001,471,3467937,13.6
