DATE,Seasonality,Metro,Tier,HPI
7/1/05,NSA,Atlanta,High,129.13
8/1/05,NSA,Atlanta,High,129.8
9/1/05,NSA,Atlanta,High,129.88
10/1/05,NSA,Atlanta,High,130.11
11/1/05,NSA,Atlanta,High,130.47
12/1/05,NSA,Atlanta,High,131.09
1/1/06,NSA,Atlanta,High,131.84
2/1/06,NSA,Atlanta,High,131.58
3/1/06,NSA,Atlanta,High,131.29
4/1/06,NSA,Atlanta,High,131.82
5/1/06,NSA,Atlanta,High,133.66
6/1/06,NSA,Atlanta,High,135.39
7/1/06,NSA,Atlanta,High,136.6
8/1/06,NSA,Atlanta,High,137.03
9/1/06,NSA,Atlanta,High,136.95
10/1/06,NSA,Atlanta,High,136.42
11/1/06,NSA,Atlanta,High,135.28
12/1/06,NSA,Atlanta,High,134.94
1/1/07,NSA,Atlanta,High,134.61
2/1/07,NSA,Atlanta,High,134.87
3/1/07,NSA,Atlanta,High,134.63
4/1/07,NSA,Atlanta,High,135.97
5/1/07,NSA,Atlanta,High,136.99
6/1/07,NSA,Atlanta,High,138.17
7/1/07,NSA,Atlanta,High,138.41
8/1/07,NSA,Atlanta,High,138.35
9/1/07,NSA,Atlanta,High,137.42
10/1/07,NSA,Atlanta,High,135.53
11/1/07,NSA,Atlanta,High,132.52
12/1/07,NSA,Atlanta,High,131.12
1/1/08,NSA,Atlanta,High,129.39
2/1/08,NSA,Atlanta,High,128.04
3/1/08,NSA,Atlanta,High,125.86
4/1/08,NSA,Atlanta,High,125.26
5/1/08,NSA,Atlanta,High,125.97
6/1/08,NSA,Atlanta,High,127.18
7/1/08,NSA,Atlanta,High,127.48
8/1/08,NSA,Atlanta,High,127.24
9/1/08,NSA,Atlanta,High,125.54
10/1/08,NSA,Atlanta,High,122.38
11/1/08,NSA,Atlanta,High,118.72
12/1/08,NSA,Atlanta,High,115.51
1/1/09,NSA,Atlanta,High,112.72
2/1/09,NSA,Atlanta,High,110.06
3/1/09,NSA,Atlanta,High,108.58
4/1/09,NSA,Atlanta,High,109.25
5/1/09,NSA,Atlanta,High,110.36
6/1/09,NSA,Atlanta,High,111.92
7/1/09,NSA,Atlanta,High,113.9
8/1/09,NSA,Atlanta,High,114.96
9/1/09,NSA,Atlanta,High,115.27
10/1/09,NSA,Atlanta,High,114.28
11/1/09,NSA,Atlanta,High,112.77
12/1/09,NSA,Atlanta,High,111.62
1/1/10,NSA,Atlanta,High,109.69
2/1/10,NSA,Atlanta,High,108.52
3/1/10,NSA,Atlanta,High,106.95
4/1/10,NSA,Atlanta,High,109.47
5/1/10,NSA,Atlanta,High,111.42
6/1/10,NSA,Atlanta,High,113.34
7/1/10,NSA,Atlanta,High,113.93
8/1/10,NSA,Atlanta,High,113.47
9/1/10,NSA,Atlanta,High,111.48
10/1/10,NSA,Atlanta,High,108.5
11/1/10,NSA,Atlanta,High,106.46
12/1/10,NSA,Atlanta,High,105.88
1/1/11,NSA,Atlanta,High,106.65
2/1/11,NSA,Atlanta,High,106.71
3/1/11,NSA,Atlanta,High,106.83
4/1/11,NSA,Atlanta,High,108.14
5/1/11,NSA,Atlanta,High,109.01
6/1/11,NSA,Atlanta,High,109.99
7/1/11,NSA,Atlanta,High,110.22
8/1/11,NSA,Atlanta,High,108.6
9/1/11,NSA,Atlanta,High,105.12
10/1/11,NSA,Atlanta,High,101.84
11/1/11,NSA,Atlanta,High,100.23
12/1/11,NSA,Atlanta,High,99.07
1/1/12,NSA,Atlanta,High,97.53
2/1/12,NSA,Atlanta,High,95.74
3/1/12,NSA,Atlanta,High,95.11
4/1/12,NSA,Atlanta,High,97.07
5/1/12,NSA,Atlanta,High,100.04
6/1/12,NSA,Atlanta,High,103.25
7/1/12,NSA,Atlanta,High,104.97
8/1/12,NSA,Atlanta,High,106.01
9/1/12,NSA,Atlanta,High,105.89
10/1/12,NSA,Atlanta,High,105.51
11/1/12,NSA,Atlanta,High,105.27
12/1/12,NSA,Atlanta,High,105.05
1/1/13,NSA,Atlanta,High,105.6
2/1/13,NSA,Atlanta,High,105.22
3/1/13,NSA,Atlanta,High,106.33
4/1/13,NSA,Atlanta,High,109.66
5/1/13,NSA,Atlanta,High,112.86
6/1/13,NSA,Atlanta,High,115.87
7/1/13,NSA,Atlanta,High,118.19
8/1/13,NSA,Atlanta,High,119.71
9/1/13,NSA,Atlanta,High,120.36
10/1/13,NSA,Atlanta,High,119.95
11/1/13,NSA,Atlanta,High,119.69
12/1/13,NSA,Atlanta,High,119.72
1/1/14,NSA,Atlanta,High,119.71
2/1/14,NSA,Atlanta,High,119.27
3/1/14,NSA,Atlanta,High,120.74
4/1/14,NSA,Atlanta,High,123.23
5/1/14,NSA,Atlanta,High,124.32
6/1/14,NSA,Atlanta,High,125.24
7/1/14,NSA,Atlanta,High,125.5
8/1/14,NSA,Atlanta,High,125.92
9/1/14,NSA,Atlanta,High,125.47
10/1/14,NSA,Atlanta,High,125.3
11/1/14,NSA,Atlanta,High,125.08
12/1/14,NSA,Atlanta,High,125.51
1/1/15,NSA,Atlanta,High,124.84
2/1/15,NSA,Atlanta,High,125.08
3/1/15,NSA,Atlanta,High,126.19
4/1/15,NSA,Atlanta,High,127.77
5/1/15,NSA,Atlanta,High,129.57
6/1/15,NSA,Atlanta,High,131.16
7/1/15,NSA,Atlanta,High,132.05
8/1/15,NSA,Atlanta,High,132.06
9/1/15,NSA,Atlanta,High,131.99
10/1/15,NSA,Atlanta,High,131.47
11/1/15,NSA,Atlanta,High,131.06
1/1/93,SA,Atlanta,High,72.88
2/1/93,SA,Atlanta,High,72.81
3/1/93,SA,Atlanta,High,72.96
4/1/93,SA,Atlanta,High,73.37
5/1/93,SA,Atlanta,High,73.77
6/1/93,SA,Atlanta,High,73.95
7/1/93,SA,Atlanta,High,74.3
8/1/93,SA,Atlanta,High,74.43
9/1/93,SA,Atlanta,High,74.8
10/1/93,SA,Atlanta,High,74.96
11/1/93,SA,Atlanta,High,75.05
12/1/93,SA,Atlanta,High,75.41
1/1/94,SA,Atlanta,High,75.79
2/1/94,SA,Atlanta,High,76.6
3/1/94,SA,Atlanta,High,76.8
4/1/94,SA,Atlanta,High,76.73
5/1/94,SA,Atlanta,High,77.15
6/1/94,SA,Atlanta,High,77.33
7/1/94,SA,Atlanta,High,77.59
8/1/94,SA,Atlanta,High,77.61
9/1/94,SA,Atlanta,High,77.67
10/1/94,SA,Atlanta,High,78.23
11/1/94,SA,Atlanta,High,78.81
12/1/94,SA,Atlanta,High,79.52
1/1/95,SA,Atlanta,High,79.55
2/1/95,SA,Atlanta,High,79.81
3/1/95,SA,Atlanta,High,79.63
4/1/95,SA,Atlanta,High,79.54
5/1/95,SA,Atlanta,High,79.35
6/1/95,SA,Atlanta,High,79.11
7/1/95,SA,Atlanta,High,79.58
8/1/95,SA,Atlanta,High,80.07
9/1/95,SA,Atlanta,High,80.41
10/1/95,SA,Atlanta,High,80.63
11/1/95,SA,Atlanta,High,80.72
12/1/95,SA,Atlanta,High,81.15
1/1/96,SA,Atlanta,High,81.5
2/1/96,SA,Atlanta,High,82.11
3/1/96,SA,Atlanta,High,82.04
4/1/96,SA,Atlanta,High,82.17
5/1/96,SA,Atlanta,High,82.26
6/1/96,SA,Atlanta,High,82.58
7/1/96,SA,Atlanta,High,82.7
8/1/96,SA,Atlanta,High,83.06
9/1/96,SA,Atlanta,High,83.39
10/1/96,SA,Atlanta,High,83.71
11/1/96,SA,Atlanta,High,83.94
12/1/96,SA,Atlanta,High,83.78
1/1/97,SA,Atlanta,High,83.93
2/1/97,SA,Atlanta,High,84.07
3/1/97,SA,Atlanta,High,84.48
4/1/97,SA,Atlanta,High,84.87
5/1/97,SA,Atlanta,High,85.35
6/1/97,SA,Atlanta,High,85.43
7/1/97,SA,Atlanta,High,85.77
8/1/97,SA,Atlanta,High,85.74
9/1/97,SA,Atlanta,High,86.34
10/1/97,SA,Atlanta,High,86.63
11/1/97,SA,Atlanta,High,87.15
12/1/97,SA,Atlanta,High,87.64
1/1/98,SA,Atlanta,High,88.05
2/1/98,SA,Atlanta,High,88.57
3/1/98,SA,Atlanta,High,89.03
4/1/98,SA,Atlanta,High,89.78
5/1/98,SA,Atlanta,High,90.31
6/1/98,SA,Atlanta,High,90.69
7/1/98,SA,Atlanta,High,90.81
8/1/98,SA,Atlanta,High,91.04
9/1/98,SA,Atlanta,High,91.51
10/1/98,SA,Atlanta,High,92.3
11/1/98,SA,Atlanta,High,93.13
12/1/98,SA,Atlanta,High,93.64
1/1/99,SA,Atlanta,High,94.28
2/1/99,SA,Atlanta,High,94.69
3/1/99,SA,Atlanta,High,95.28
4/1/99,SA,Atlanta,High,95.54
5/1/99,SA,Atlanta,High,96.24
6/1/99,SA,Atlanta,High,96.67
7/1/99,SA,Atlanta,High,97.48
8/1/99,SA,Atlanta,High,97.74
9/1/99,SA,Atlanta,High,98.18
10/1/99,SA,Atlanta,High,98.76
11/1/99,SA,Atlanta,High,99.21
12/1/99,SA,Atlanta,High,100.25
1/1/00,SA,Atlanta,High,100.49
2/1/00,SA,Atlanta,High,101.73
3/1/00,SA,Atlanta,High,101.87
4/1/00,SA,Atlanta,High,103.19
5/1/00,SA,Atlanta,High,103.63
6/1/00,SA,Atlanta,High,104.37
7/1/00,SA,Atlanta,High,104.32
8/1/00,SA,Atlanta,High,104.57
9/1/00,SA,Atlanta,High,104.6
10/1/00,SA,Atlanta,High,104.98
11/1/00,SA,Atlanta,High,105.55
12/1/00,SA,Atlanta,High,105.98
1/1/01,SA,Atlanta,High,106.49
2/1/01,SA,Atlanta,High,106.76
3/1/01,SA,Atlanta,High,107.09
4/1/01,SA,Atlanta,High,107.56
5/1/01,SA,Atlanta,High,107.81
6/1/01,SA,Atlanta,High,108.55
7/1/01,SA,Atlanta,High,108.84
8/1/01,SA,Atlanta,High,109.45
9/1/01,SA,Atlanta,High,110.01
10/1/01,SA,Atlanta,High,110.23
11/1/01,SA,Atlanta,High,110.02
12/1/01,SA,Atlanta,High,109.97
1/1/02,SA,Atlanta,High,110.27
2/1/02,SA,Atlanta,High,110.91
3/1/02,SA,Atlanta,High,111.08
4/1/02,SA,Atlanta,High,110.78
5/1/02,SA,Atlanta,High,110.9
6/1/02,SA,Atlanta,High,111.19
7/1/02,SA,Atlanta,High,111.91
8/1/02,SA,Atlanta,High,112.23
9/1/02,SA,Atlanta,High,112.27
10/1/02,SA,Atlanta,High,112.58
11/1/02,SA,Atlanta,High,112.91
12/1/02,SA,Atlanta,High,113.22
1/1/03,SA,Atlanta,High,113.61
2/1/03,SA,Atlanta,High,113.92
3/1/03,SA,Atlanta,High,114.88
4/1/03,SA,Atlanta,High,114.9
5/1/03,SA,Atlanta,High,115.17
6/1/03,SA,Atlanta,High,115.12
7/1/03,SA,Atlanta,High,115.36
8/1/03,SA,Atlanta,High,115.67
9/1/03,SA,Atlanta,High,116.17
10/1/03,SA,Atlanta,High,116.51
11/1/03,SA,Atlanta,High,116.92
12/1/03,SA,Atlanta,High,117.06
1/1/04,SA,Atlanta,High,117.54
2/1/04,SA,Atlanta,High,117.89
3/1/04,SA,Atlanta,High,118.58
4/1/04,SA,Atlanta,High,119.53
5/1/04,SA,Atlanta,High,119.7
6/1/04,SA,Atlanta,High,119.8
7/1/04,SA,Atlanta,High,120.29
8/1/04,SA,Atlanta,High,120.72
9/1/04,SA,Atlanta,High,121.45
10/1/04,SA,Atlanta,High,121.88
11/1/04,SA,Atlanta,High,122.71
12/1/04,SA,Atlanta,High,123.41
1/1/05,SA,Atlanta,High,124.21
2/1/05,SA,Atlanta,High,124.81
3/1/05,SA,Atlanta,High,125.62
4/1/05,SA,Atlanta,High,126.58
5/1/05,SA,Atlanta,High,127.01
6/1/05,SA,Atlanta,High,127.58
7/1/05,SA,Atlanta,High,127.55
8/1/05,SA,Atlanta,High,127.93
9/1/05,SA,Atlanta,High,128.05
10/1/05,SA,Atlanta,High,129.15
11/1/05,SA,Atlanta,High,130.55
12/1/05,SA,Atlanta,High,131.82
1/1/06,SA,Atlanta,High,133.21
2/1/06,SA,Atlanta,High,133.43
3/1/06,SA,Atlanta,High,133.69
4/1/06,SA,Atlanta,High,133.39
5/1/06,SA,Atlanta,High,133.94
6/1/06,SA,Atlanta,High,134.24
7/1/06,SA,Atlanta,High,134.59
8/1/06,SA,Atlanta,High,134.6
9/1/06,SA,Atlanta,High,134.61
10/1/06,SA,Atlanta,High,135.2
11/1/06,SA,Atlanta,High,135.42
12/1/06,SA,Atlanta,High,135.82
1/1/07,SA,Atlanta,High,136.34
2/1/07,SA,Atlanta,High,137.18
3/1/07,SA,Atlanta,High,137.57
4/1/07,SA,Atlanta,High,137.85
5/1/07,SA,Atlanta,High,137.36
6/1/07,SA,Atlanta,High,136.76
7/1/07,SA,Atlanta,High,135.92
8/1/07,SA,Atlanta,High,135.35
9/1/07,SA,Atlanta,High,134.7
10/1/07,SA,Atlanta,High,134.16
11/1/07,SA,Atlanta,High,132.77
12/1/07,SA,Atlanta,High,132.17
1/1/08,SA,Atlanta,High,131.41
2/1/08,SA,Atlanta,High,130.69
3/1/08,SA,Atlanta,High,129.04
4/1/08,SA,Atlanta,High,127.15
5/1/08,SA,Atlanta,High,126.29
6/1/08,SA,Atlanta,High,125.61
7/1/08,SA,Atlanta,High,124.76
8/1/08,SA,Atlanta,High,124.02
9/1/08,SA,Atlanta,High,122.8
10/1/08,SA,Atlanta,High,121.11
11/1/08,SA,Atlanta,High,119.1
12/1/08,SA,Atlanta,High,116.6
1/1/09,SA,Atlanta,High,114.74
2/1/09,SA,Atlanta,High,112.71
3/1/09,SA,Atlanta,High,111.63
4/1/09,SA,Atlanta,High,110.98
5/1/09,SA,Atlanta,High,110.52
6/1/09,SA,Atlanta,High,110.25
7/1/09,SA,Atlanta,High,111.11
8/1/09,SA,Atlanta,High,111.74
9/1/09,SA,Atlanta,High,112.65
10/1/09,SA,Atlanta,High,113.17
11/1/09,SA,Atlanta,High,113.28
12/1/09,SA,Atlanta,High,112.85
1/1/10,SA,Atlanta,High,111.82
2/1/10,SA,Atlanta,High,111.44
3/1/10,SA,Atlanta,High,110.15
4/1/10,SA,Atlanta,High,111.16
5/1/10,SA,Atlanta,High,111.38
6/1/10,SA,Atlanta,High,111.4
7/1/10,SA,Atlanta,High,110.88
8/1/10,SA,Atlanta,High,110.13
9/1/10,SA,Atlanta,High,109
10/1/10,SA,Atlanta,High,107.59
11/1/10,SA,Atlanta,High,107.07
12/1/10,SA,Atlanta,High,107.16
1/1/11,SA,Atlanta,High,108.8
2/1/11,SA,Atlanta,High,109.79
3/1/11,SA,Atlanta,High,110.06
4/1/11,SA,Atlanta,High,109.72
5/1/11,SA,Atlanta,High,108.73
6/1/11,SA,Atlanta,High,107.92
7/1/11,SA,Atlanta,High,107.17
8/1/11,SA,Atlanta,High,105.41
9/1/11,SA,Atlanta,High,102.91
10/1/11,SA,Atlanta,High,101.12
11/1/11,SA,Atlanta,High,100.87
12/1/11,SA,Atlanta,High,100.33
1/1/12,SA,Atlanta,High,99.5
2/1/12,SA,Atlanta,High,98.56
3/1/12,SA,Atlanta,High,97.92
4/1/12,SA,Atlanta,High,98.36
5/1/12,SA,Atlanta,High,99.63
6/1/12,SA,Atlanta,High,101.23
7/1/12,SA,Atlanta,High,102.09
8/1/12,SA,Atlanta,High,103.02
9/1/12,SA,Atlanta,High,103.83
10/1/12,SA,Atlanta,High,104.85
11/1/12,SA,Atlanta,High,105.92
12/1/12,SA,Atlanta,High,106.38
1/1/13,SA,Atlanta,High,107.72
2/1/13,SA,Atlanta,High,108.3
3/1/13,SA,Atlanta,High,109.36
4/1/13,SA,Atlanta,High,110.99
5/1/13,SA,Atlanta,High,112.26
6/1/13,SA,Atlanta,High,113.6
7/1/13,SA,Atlanta,High,115.03
8/1/13,SA,Atlanta,High,116.5
9/1/13,SA,Atlanta,High,118.18
10/1/13,SA,Atlanta,High,119.25
11/1/13,SA,Atlanta,High,120.36
12/1/13,SA,Atlanta,High,121.19
1/1/14,SA,Atlanta,High,122.06
2/1/14,SA,Atlanta,High,122.71
3/1/14,SA,Atlanta,High,124.06
4/1/14,SA,Atlanta,High,124.6
5/1/14,SA,Atlanta,High,123.6
6/1/14,SA,Atlanta,High,122.84
7/1/14,SA,Atlanta,High,122.26
8/1/14,SA,Atlanta,High,122.72
9/1/14,SA,Atlanta,High,123.3
10/1/14,SA,Atlanta,High,124.56
11/1/14,SA,Atlanta,High,125.68
12/1/14,SA,Atlanta,High,127.04
1/1/15,SA,Atlanta,High,127.28
2/1/15,SA,Atlanta,High,128.67
3/1/15,SA,Atlanta,High,129.6
4/1/15,SA,Atlanta,High,129.14
5/1/15,SA,Atlanta,High,128.79
6/1/15,SA,Atlanta,High,128.69
7/1/15,SA,Atlanta,High,128.7
8/1/15,SA,Atlanta,High,128.78
9/1/15,SA,Atlanta,High,129.72
10/1/15,SA,Atlanta,High,130.69
11/1/15,SA,Atlanta,High,131.63
1/1/93,NSA,Atlanta,Middle,71.45
2/1/93,NSA,Atlanta,Middle,71.53
3/1/93,NSA,Atlanta,Middle,71.75
4/1/93,NSA,Atlanta,Middle,72.42
5/1/93,NSA,Atlanta,Middle,73.1
6/1/93,NSA,Atlanta,Middle,73.3
7/1/93,NSA,Atlanta,Middle,73.68
8/1/93,NSA,Atlanta,Middle,74.05
9/1/93,NSA,Atlanta,Middle,74.38
10/1/93,NSA,Atlanta,Middle,74.47
11/1/93,NSA,Atlanta,Middle,74.61
12/1/93,NSA,Atlanta,Middle,74.92
1/1/94,NSA,Atlanta,Middle,75.26
2/1/94,NSA,Atlanta,Middle,75.4
3/1/94,NSA,Atlanta,Middle,75.47
4/1/94,NSA,Atlanta,Middle,75.6
5/1/94,NSA,Atlanta,Middle,76.02
6/1/94,NSA,Atlanta,Middle,76.28
7/1/94,NSA,Atlanta,Middle,77.2
8/1/94,NSA,Atlanta,Middle,77.7
9/1/94,NSA,Atlanta,Middle,77.97
10/1/94,NSA,Atlanta,Middle,77.97
11/1/94,NSA,Atlanta,Middle,78.13
12/1/94,NSA,Atlanta,Middle,78.31
1/1/95,NSA,Atlanta,Middle,78.57
2/1/95,NSA,Atlanta,Middle,78.81
3/1/95,NSA,Atlanta,Middle,78.96
4/1/95,NSA,Atlanta,Middle,79.26
5/1/95,NSA,Atlanta,Middle,79.68
6/1/95,NSA,Atlanta,Middle,80.02
7/1/95,NSA,Atlanta,Middle,80.28
8/1/95,NSA,Atlanta,Middle,80.49
9/1/95,NSA,Atlanta,Middle,80.88
10/1/95,NSA,Atlanta,Middle,81.13
11/1/95,NSA,Atlanta,Middle,81.27
12/1/95,NSA,Atlanta,Middle,81.37
1/1/96,NSA,Atlanta,Middle,81.46
2/1/96,NSA,Atlanta,Middle,81.64
3/1/96,NSA,Atlanta,Middle,81.77
4/1/96,NSA,Atlanta,Middle,82.54
5/1/96,NSA,Atlanta,Middle,83.06
6/1/96,NSA,Atlanta,Middle,83.12
7/1/96,NSA,Atlanta,Middle,83.05
8/1/96,NSA,Atlanta,Middle,83.28
9/1/96,NSA,Atlanta,Middle,83.75
10/1/96,NSA,Atlanta,Middle,83.95
11/1/96,NSA,Atlanta,Middle,84.26
12/1/96,NSA,Atlanta,Middle,84.71
1/1/97,NSA,Atlanta,Middle,85.03
2/1/97,NSA,Atlanta,Middle,85.05
3/1/97,NSA,Atlanta,Middle,84.83
4/1/97,NSA,Atlanta,Middle,85.26
5/1/97,NSA,Atlanta,Middle,85.87
6/1/97,NSA,Atlanta,Middle,86.29
7/1/97,NSA,Atlanta,Middle,86.56
8/1/97,NSA,Atlanta,Middle,87.01
9/1/97,NSA,Atlanta,Middle,87.63
10/1/97,NSA,Atlanta,Middle,87.87
11/1/97,NSA,Atlanta,Middle,88.21
12/1/97,NSA,Atlanta,Middle,88.16
1/1/98,NSA,Atlanta,Middle,88.53
2/1/98,NSA,Atlanta,Middle,88.56
3/1/98,NSA,Atlanta,Middle,89.29
4/1/98,NSA,Atlanta,Middle,90.07
5/1/98,NSA,Atlanta,Middle,90.97
6/1/98,NSA,Atlanta,Middle,91.25
7/1/98,NSA,Atlanta,Middle,91.61
8/1/98,NSA,Atlanta,Middle,91.69
9/1/98,NSA,Atlanta,Middle,91.97
10/1/98,NSA,Atlanta,Middle,92.41
11/1/98,NSA,Atlanta,Middle,92.91
12/1/98,NSA,Atlanta,Middle,93.19
1/1/99,NSA,Atlanta,Middle,93.37
2/1/99,NSA,Atlanta,Middle,93.75
3/1/99,NSA,Atlanta,Middle,94.73
4/1/99,NSA,Atlanta,Middle,95.56
5/1/99,NSA,Atlanta,Middle,96.27
6/1/99,NSA,Atlanta,Middle,96.82
7/1/99,NSA,Atlanta,Middle,97.28
8/1/99,NSA,Atlanta,Middle,97.51
9/1/99,NSA,Atlanta,Middle,97.94
10/1/99,NSA,Atlanta,Middle,98.5
11/1/99,NSA,Atlanta,Middle,99.25
12/1/99,NSA,Atlanta,Middle,99.74
1/1/00,NSA,Atlanta,Middle,100
2/1/00,NSA,Atlanta,Middle,100.35
3/1/00,NSA,Atlanta,Middle,100.95
4/1/00,NSA,Atlanta,Middle,101.77
5/1/00,NSA,Atlanta,Middle,102.66
